2.11 - Emisiones de gases de efecto invernadero(a),,,,,,,,2.11 - Emisiones de gases de efecto invernadero,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero ,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero.,,,,,,,
         ,,,,,,,,          ,,,,,,,,,          ,,,,,,,,,,,,,,,,
,,,,,,Gigagramo,,,,,,,,,Gigagramo,,,,,,,,,Gigagramo,,          ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigagramo
,,,,,,,,,,,,,,,,,,,,,,,,,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2
AÑOS,CO2,CH4,N2O,SF6,HFC,PFC,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2010 (a),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Procesos industriales y uso de productos,"852,90",-,"0,19",…,…,…,,2006,,,,,,,,,Emisiones netas,"8.609,55","560,59","18,88","93,26","379,60","32,64","807,11",,2016 (a),,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-12.788,44","234,92","9,88",…,…,…,,Emisiones brutas,"27.971,88","395,92","8,45","104,19","453,08","98,99","780,30",,      Energía,"31.539,21","209,27","0,38","92,90","358,52","32,59","799,39",,,,,,,,,
      Desechos,-,"93,47","0,37",…,…,…,,Emisiones netas,"6.275,05","396,83","8,46","104,41","461,02","98,99","780,30",,      Procesos industriales,"965,32",.,"0,22","0,01","2,50","0,05","7,72",,Emisiones brutas,"33.971,53","659,92","25,70",…,…,…,…
1996,,,,,,,,      Energía,"26.532,43","103,88","0,66","104,18","450,77","41,20","772,71",,  Agricultura,"158,69","197,09","17,65","0,18","6,22",..,..,,,,,,,,,
Emisiones Brutas,"28.091,02","380,90","12,00",…,…,…,,      Procesos industriales,"1.439,45",.,.,"0,01","2,31","41,32","7,59",,  Cambio de uso de la tierra y silvicultura,"-24.053,67",,"0,01","0,35","12,36",..,..,,Emisiones netas,"6.372,43","659,92","25,70",…,…,…,…
Emisiones Netas,"13.291,65","380,90","12,00",…,…,…,,  Uso de solventes,..,..,.,..,..,"16,47",..,,  Desechos,.,"154,23","0,62",.,.,.,.,,      Energía,"32.346,85","134,95","0,75",…,…,…,…
      Energía,"25.350,15","51,19","0,75",…,…,…,,  Agricultura,..,"179,64","7,19",.,.,..,..,,2012 (a),,,,,,,,,      Procesos industriales,"725,57",.,"0,16",…,…,…,…
      Procesos industriales y uso de productos,"1.072,50",-,"0,49",…,…,…,,  Cambio de uso de la tierra y silvicultura,"-21.696,83","0,91","0,01","0,22","7,94",..,..,,Emisiones brutas,"31.567,00","560,19","19,12","93,45","399,68","59,24","813,47",,  Agricultura,"24,70","349,00","24,08",…,…,…,…
"      Agricultura, silvicultura y otros usos de la tierra","-13.131,00","241,20","10,38",…,…,…,,  Desechos,.,"112,40","0,60",.,.,.,.,,Emisiones netas,"7.398,14","560,19","19,12","93,54","402,99","59,24","813,47",,  Cambio de uso de la tierra y silvicultura,"-26.724,70",-,0,…,…,…,…
      Desechos,-,"88,51","0,38",…,…,…,,2008,,,,,,,,,      Energía,"30.384,22","201,61","0,37","93,16","387,44","33,24","806,24",,  Desechos,.,"175,97","0,71",.,.,.,.
1998,,,,,,,,Emisiones brutas,"31.468,36","372,50","8,20","97,69","366,99","108,06","835,59",,      Procesos industriales,"1.022,05",.,"0,23","0,01","2,49","26,00","7,23",,2017(a),,,,,,,
Emisiones Brutas,"29.414,20","394,90","12,54",…,…,…,,Emisiones netas,"13.653,37","372,90","8,20","97,79","370,51","108,06","835,59",,  Agricultura,"160,73","199,63","17,88","0,28","9,75",..,..,,,,,,,,,
Emisiones Netas,"15.782,02","394,90","12,54",…,…,…,,      Energía,"30.060,88","90,19","0,51","97,68","364,53","31,91","827,99",,  Cambio de uso de la tierra y silvicultura,"-24.168,86",,0,"0,09","3,31",..,..,,Emisiones brutas,"31.394,73","640,54","25,23",…,…,…,…
      Energía,"26.746,11","55,66","0,67",…,…,…,,      Procesos industriales,"1.407,48",.,.,"0,01","2,46","43,66","7,60",,  Desechos,.,"158,95","0,64",.,.,.,.,,,,,,,,,
      Procesos industriales y uso de productos,"1.268,58",-,"0,10",…,…,…,,  Uso de solventes,..,..,.,..,..,"32,49",..,,2014 (a),,,,,,,,,Emisiones netas,"2.979,69","640,54","25,23",…,…,…,…
"      Agricultura, silvicultura y otros usos de la tierra","-12.232,67","249,78","11,36",…,…,…,,  Agricultura,..,"182,00","7,10",.,.,..,..,,Emisiones brutas,"32.565,27","582,96","19,49","92,35","476,04","63,37","779,71",,      Energía,"29.684,69","123,84","0,68",…,…,…,…
      Desechos,-,"89,46",0,…,…,…,,  Cambio de uso de la tierra y silvicultura,"-17.814,99","0,40",0,"0,10","3,52",..,..,,Emisiones netas,"5.910,75","582,96","19,49","92,35","476,04","63,37","779,71",,      Procesos industriales,"700,81",.,"0,23",…,…,…,…
2000,,,,,,,,  Desechos,.,"100,31","0,59",.,.,.,.,,      Energía,"31.611,53","209,75","0,38","91,45","444,52","34,32","772,36",,  Agricultura,"28,30","337,06","23,58",…,…,…,…
Emisiones Brutas,"28.107,38","406,69","11,97",…,…,…,,2010 (a),,,,,,,,,      Procesos industriales,"789,68",.,"0,18","0,01","0,00","29,05","7,35",,  Cambio de uso de la tierra y silvicultura,"-27.434,11",-,-,…,…,…,…
Emisiones Netas,"14.605,70","406,69","11,97",…,…,…,,Emisiones brutas,"29.605,63","397,09","8,32","92,91","367,24","54,46","807,11",,  Agricultura,"164,06","203,76","18,25","0,82","28,96",..,..,,  Desechos,.,"179,64","0,73",.,.,.,.
      Energía,"25.356,96","78,25","0,71",…,…,…,,Emisiones netas,"15.316,75","431,61","8,33","93,26","379,60","54,46","807,11",,  Cambio de uso de la tierra y silvicultura,"-26.654,52",,0,"0,07","2,56",..,..,,2018(a),,,,,,,
      Procesos industriales y uso de productos,"1.260,57",-,"0,15",…,…,…,,      Energía,"28.326,63","87,61","0,49","92,90","358,52","32,59","799,39",,  Desechos,.,"169,45","0,68",.,.,.,.,,,,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-12.011,83","240,73","10,63",…,…,…,,      Procesos industriales,"1.279,00",.,.,"0,01","2,50","0,05","7,72",,2016 (a),,,,,,,,,Emisiones brutas,"31.090,49","642,91","24,85",..,..,..,..
      Desechos,-,"87,71","0,48",…,…,…,,  Uso de solventes,..,..,.,..,..,"21,82",..,,Emisiones brutas,"31.869,50","585,49","19,51",…,…,…,…,,,,,,,,,
2002,,,,,,,,  Agricultura,..,"189,32","7,27","0,18","6,22",..,..,,Emisiones netas,"4.722,30","585,49","19,51",…,…,…,…,,Emisiones netas,"1.859,51","642,91","24,85",..,..,..,..
Emisiones Brutas,"26.559,88","436,72","10,98",…,…,…,,  Cambio de uso de la tierra y silvicultura,"-14.288,88","34,52","0,01","0,35","12,36",..,..,,      Energía,"30.979,73","205,56","0,37",…,…,…,…,,      Energía,"29.254,17","122,05","0,67",..,..,..,..
Emisiones Netas,"12.199,35","436,72","10,98",…,…,…,,  Desechos,.,"120,16","0,55",.,.,.,.,,      Procesos industriales,"725,57",.,"0,16",…,…,…,…,,      Procesos industriales,"723,04",.,"0,21",..,..,..,..
      Energía,"23.584,94","112,23","0,59",…,…,…,,2012,,,,,,,,,  Agricultura,"164,20","203,95","18,27",…,…,…,…,,  Agricultura,"25,83","341,32","23,21",..,..,..,..
      Procesos industriales y uso de productos,"1.337,99",-,"0,06",…,…,…,,Emisiones brutas,"29.345,81","419,17","8,38","93,45","399,68","80,00","813,47",,  Cambio de uso de la tierra y silvicultura,"-27.147,20",,0,…,…,…,…,,  Cambio de uso de la tierra y silvicultura,"-28.143,53",-,-,..,..,..,..
"      Agricultura, silvicultura y otros usos de la tierra","-12.723,58","237,84","9,76",…,…,…,,Emisiones netas,"15.163,68","452,79","8,38","93,54","402,99","80,00","813,47",,  Desechos,.,"175,98","0,71",.,.,.,.,,  Desechos,.,"179,53","0,75",.,.,.,.
      Desechos,-,"86,65","0,56",…,…,…,,      Energía,"28.021,41","100,45","0,52","93,16","387,44","33,24","806,24",,2017 (a),,,,,,,,,2019(a),,,,,,,
2004,,,,,,,,      Procesos industriales,"1.324,40",.,.,"0,01","2,49","26,00","7,23",,Emisiones brutas,"30.173,50","530,55","21,08",…,…,…,…,,,,,,,,,
