"4.4 - Principales entidades clasificadas por formas de organización, órgano u organismo y organización superior ",,,,,,,,,,
"        de dirección empresarial, año 2017",,,,,,,,,,
,,,,,Unidad,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Unidades,,,,,          
,,,Sociedades,,Presu-,,,,,
CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,,,,
,,,,,,,,,,
,,,,,,,,,,
Ministerio del Interior, 72,65,1,-,6,,,,,
 Subordinadas al organismo superior, 71, 64, 1,-, 6,,,,,
 Grupo Empresarial Agropecuario del Ministerio del Interior, 1, 1,-,-,-,,,,,
Consejo de Estado, 6,1,3,-,2,,,,,
 Subordinadas al organismo superior, 6,1,3,-,2,,,,,
Grupo de las Industrias Biotecnológica y Farmacéuticas, 34,26,8,-,-,,,,,
Grupo Empresarial PALCO, 11,11,-,-,-,,,,,
Grupo Centro Histórico, 10,7,3,-,-,,,,,
Poder Popular,2 344,458,-, 277,1 609,,,,,
 Grupo Empresarial Artemisa, 14,14,-,-,-,,,,,
 Grupo Empresarial Mayabeque, 12,12,-,-,-,,,,,
Unión de Jóvenes Comunistas, 2,-,-,-,2,,,,,
Otros organismos, 230,16,40, 26,148,,,,,
