8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,3.264,4.678,3.756,3.463,3.503,3.250,4.735,5.179,6.709,6.789,6.633,7.110,9.822,7.795,6.349,8.393,7.194,10.190,12.165,10.374,13.075,9.828,6.911,10.215,13.903,,,,,,
,,       Queso y cuajada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,2.465,3.187,3.470,2.712,2.842,3.238,3.181,3.711,3.654,4.094,1.459,1.976,3.080,2.659,2.217,2.397,2.316,3.632,3.316,4.877,5.755,5.813,3.671,4.939,5.359,,,,,,
,,         Valor,MP,8.133,9.056,9.353,8.455,7.963,8.498,9.809,12.237,13.548,16.743,9.424,8.044,13.181,14.148,10.692,13.957,14.322,17.598,16.208,25.876,32.425,29.153,19.194,27.048,36.642,,,,,,
,03,     Pescado ( no incluidos los mamíferos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       marinos), crustáceos, moluscos e inver-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       tebrados acuáticos y sus preparados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,28.924,28.306,39.869,34.009,28.770,35.666,51.237,50.921,35.832,48.420,70.039,50.285,34.633,31.177,31.003,35.050,36.877,55.251,46.588,50.358,44.422,79.447,23.168,20.557,42.707,,,,,,
,,       Pescado y marisco fresco y congelado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,24.839,5.705,7.778,7.566,18.273,34.661,51.891,38.745,18.621,32.023,39.027,24.956,12.447,9.295,7.292,9.013,9.501,14.611,10.036,11.111,8.221,20.380,4.285,1.061,2.094,,,,,,
,,         Valor,MP,22.349,9.777,12.410,13.650,23.548,30.515,45.787,43.154,28.387,40.551,58.494,37.188,25.074,24.558,25.245,26.784,25.931,39.477,29.048,33.890,25.217,57.910,9.494,4.731,11.952,,,,,,
,,"      Otros pescados, preparados o en conserva, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,2.245,9.861,20.251,12.408,2.510,1.070,1.093,441,125,91,299,75,73,20,105,145,98,181,210,347,144,144,46,113,136,,,,,,
,,         Valor,MP,3.230,13.552,22.473,13.661,2.456,1.362,1.582,708,345,358,958,307,277,84,390,613,444,673,622,1.217,645,432,193,585,827,,,,,,
,04,     Cereales y preparados de cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,348.260,313.755,285.541,310.098,322.622,347.962,449.408,546.228,487.870,671.795,1.128.738,647.576,670.547,906.073,755.850,822.897,838.144,723.974,710.993,696.696,732.836,714.002,646.390,787.288,702.691,,,,,,
,,       Trigo y morcajo o tranquillón sin moler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,877.608,864.289,838.071,766.647,527.977,548.396,536.070,640.576,510.963,565.488,660.653,671.629,777.961,805.975,750.007,778.471,784.999,798.500,799.746,818.181,666.696,717.345,699.635,562.853,400.569,,,,,,
,,         Valor,MP,178.590,122.979,112.187,119.155,78.771,93.778,106.166,123.725,106.463,164.256,272.702,189.771,205.642,323.414,270.354,298.819,267.632,220.617,209.362,210.387,184.024,200.347,195.224,216.967,180.875,,,,,,
,,       Arroz consumo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,310.060,448.787,392.549,451.547,516.277,367.727,529.700,703.332,532.018,586.644,567.284,511.642,413.910,505.153,353.785,335.295,463.638,487.179,541.670,464.087,496.120,476.949,446.705,502.228,465.399,,,,,,
,,         Valor,MP,99.382,141.163,100.772,98.921,120.160,85.062,170.433,246.123,172.437,229.239,478.830,238.411,219.419,292.655,195.009,181.980,270.224,239.843,257.632,215.156,273.247,239.725,235.718,327.886,295.275,,,,,,
