8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,37.302,40.800,23.806,28.690,30.194,15.859,24.417,19.335,27.302,38.218,47.787,42.629,44.352,60.179,56.707,64.769,61.729,60.347,47.182,24.947,39.915,28.973,15.535,7.928,12.828,,,,,,
,,"       Insecticidas, fungicidas, raticidas y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        productos análogos excepto desinfectantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Cantidad,t,4.124,3.670,3.213,3.267,3.161,2.622,2.723,6.440,3.603,4.588,5.427,3.273,4.254,5.350,4.477,5.206,3.965,5.550,4.880,3.944,2.695,2.566,1.862,1.187,959,,,,,,
,,          Valor,MP,25.827,23.491,18.490,19.053,18.607,17.303,16.409,15.977,16.123,24.726,32.167,22.914,31.634,38.613,32.069,41.185,29.375,33.696,38.751,30.066,22.564,20.937,15.777,13.895,8.814,,,,,,
,,       Aditivos para aceites lubricantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Cantidad,t,19.300,2.355,2.253,1.646,2.058,2.306,1.943,2.421,4.189,3.739,3.477,3.288,4.504,4.794,3.988,4.754,5.274,5.590,6.198,4.974,6.483,5.707,4.607,3.529,3.045,,,,,,
,,          Valor,MP,9.582,5.825,6.525,4.941,5.730,6.501,7.267,5.491,11.049,11.414,13.113,10.262,17.634,21.961,19.310,21.729,23.030,22.432,22.236,18.284,24.154,20.614,16.377,16.041,15.630,,,,,,
,,       Aditivos preparados para otros líquidos utilizados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        para los mismos fines que los,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        aceites minerales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Cantidad,t,1.755,1.083,952,2.410,2.105,2.443,3.358,2.685,2.850,3.506,3.640,2.963,4.258,2.903,3.173,2.851,2.935,3.412,2.453,2.639,2.862,3.028,2.171,1.874,1.195,,,,,,
,,          Valor,MP,4.282,4.572,4.273,6.799,8.347,10.378,15.389,11.057,11.070,16.434,18567 ,14165 ,21.562,18.864,18.792,18.427,16.707,17.603,12.579,13.545,13.808,13.082,11.260,10.782,6.402,,,,,,
6 ,,"   Artículos manufacturados, clasificados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,     principalmente según el material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,628.672,687.889,673.195,677.068,526.481,600.606,692.619,893.712,1.060.460,1.101.795,1.548.650,1.047.915,1.100.435,1.396.452,1.415.344,1.502.995,1.134.266,1.499.972,1.362.095,1.176.344,1.355.094,1.168.882,852.806,800.066,989.061,,,,,,
,61,"       Cuero y manufacturas de cuero, n.e.p., ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        y pieles finas curtidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,2.438,2.022,2.595,2.103,1.378,852 ,741,522,709,880,1.814,731,688,1.333,1.318,2.296,585,755,934,413,736,475,241,52,127,,,,,,
,62,"       Manufacturas de caucho, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,92.177,76.424,72.733,69.360,52.039,62616 ,73.243,92.832,105.918,109.851,186.895,97.363,133.037,197.931,232.002,195.035,174.593,202.817,166.420,120.256,141.245,124.913,92.710,82.711,106.047,,,,,,
,,        Neumáticos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,929.737,665.496,747.630,787.494,457.083,641.597,790.477,954.757,830.017,731.797,1.166.837,434.498,542.120,723.491,1.040.964,694.003,751.365,1.027.121,750.143,702.709,529.447,560.513,649.810,460.086,691.634,,,,,,
,,         Valor,MP,67.993,51.093,46.775,42.676,33.379,31.953,45.314,62.844,64.054,52.077,116.885,54.043,84.717,121.409,152.060,112.629,101.730,103.912,79.845,64.630,59.529,64.637,50.399,46.559,65.529,,,,,,
,,       Correas de transmisión o de caucho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         vulcanizado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Valor,MP,7.817,8.667,6.580,6.424,5.352,2.437,8.841,6.298,10.574,10.904,14.246,6.545,10.081,15.350,9.841,14.076,12.490,13.140,14.205,9.835,11.715,8.902,5.968,5.067,4.992,,,,,,
,63,       Manufacturas de corcho y de madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        (excepto muebles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,19.383,14.409,17.218,23.120,12.282,15.439,17.297,22.848,18.856,24.033,30.658,15.333,18.815,29.256,25.640,33.288,20.958,36.675,46.516,26.646,31.772,25.804,20.157,18.605,20.428,,,,,,
,64,"       Papel, cartón y artículos de pasta de ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        papel o de cartón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,60.949,63.954,76.809,84.389,83.527,97.065,99.273,101.266,113.374,122.544,158.372,103.630,120.884,145.662,154.095,151.975,106.625,155.193,130.695,115.251,124.376,97.915,81.943,78.098,90.108,,,,,,
,,         Papel y cartón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,28.997,32.428,42.330,45.527,51.159,58.914,57.048,54.426,57.521,77.014,71.260,45.740,56.176,163.828,104.892,72.439,51.849,86.742,126.621,59.904,66.834,53.149,37.747,36.319,32.820,,,,,,
,,         Valor,MP,30.549,32.762,41.359,45.634,46.072,50.982,52.957,53.127,57.180,65.830,93.520,62.379,72.406,99.843,109.344,103.241,70.807,111.814,94.320,84.744,90.128,75.177,54.273,58.326,64.775,,,,,,
,,           Papel periódico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Cantidad,t,7.702,8.136,9.621,16.125,17.601,22.324,20.563,9.359,20.060,14.250,9.756,12.409,16.685,19.976,22.124,13.074,10.693,16.573,14.596,7.324,8.337,10.862,7.334,5.792,3.466,,,,,,
,,            Valor,MP,5.558,5.356,5.785,10.997,9.230,12.112,11.471,5.849,15.529,10.288,7.267,9.048,10.927,15.887,18.699,10.078,9.084,13.027,10.257,4.889,5.767,8.636,5.825,4.845,4.755,,,,,,
,,           Otros papeles y cartones que pesen 40 gm2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"            o más, pero no más de 150 g/m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Cantidad,t,7.284,10.763,8.843,11.444,13.163,-,14.088,17.609,15.475,30.683,26.608,10.254,17.269,90.234,27.563,26.102,16.998,31.605,30.721,17.933,19.065,12.399,7.837,8.938,8.304,,,,,,
,,            Valor,MP,8.848,10.899,10.094,13.501,14.110,-,16.095,20.055,17.861,27.601,37.162,16.088,26.090,31.324,39.221,34.884,20.852,38.726,33.886,25.013,24.361,18.767,12.374,17.291,17.257,,,,,,
,,           Cajas y cajones de papel o cartón ondulados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Cantidad (b),t,5.330,5.578,6.073,4.725,6.504,8.432,10.106,7.041,7.754,7.812,8.304,4.649,6.098,5.830,18.557,21.067,98.554,138.876,133.417,128.299,22.658,9.872,57.697,6.243,4.982,,,,,,
,,            Valor,MP,6.381,8.891,7.682,6.206,8.052,12.211,11.687,10.302,12.471,13.104,13.349,7.907,10.733,11.463,11.666,11.925,10.634,16.082,11.619,11.932,12.490,8.706,6.248,5.976,5.998,,,,,,
,65,"     Hilados, tejidos, artículos confeccionados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"      de fibras textiles, n.e.p., y productos conexos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,75.964,87.842,78.385,80.425,63.167,75.186,88.137,95.229,95.177,115.463,156.366,119.645,94.224,126.676,136.590,"150215,3 ",125.179,177.776,175.216,121.428,125.455,129.917,83.019,90.026,140.787,,,,,,
,,"       Tejidos de algodón (excepto gasa, tejidos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         aterciopelados y tejidos de felpilla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         de algodón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Cantidad,Mm2,12.821,14.291,18.821,11.045,8.446,18.025,49.709,29.664,27.172,40.734,44.695,10.936,12.566,26.473,7.801,8.249,27.615,15.569,10.133,4.891,7.628,5.362,2.754,4.018,7.428,,,,,,
,,          Valor,MP,19.613,16.193,14.786,13.800,10.511,15.517,16.167,16.186,19.986,17.862,14.582,9.669,10.667,12.554,12.138,11.665,10.629,20.978,14.269,7.726,8.650,10.036,5.096,6.646,8.861,,,,,,
,,       Tejidos de lino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,Mm2,1,2,82,6,132,73,144,57,70,37,57,30,84,409,605,43,265,2.125,147,132,536,815,291,61,33,,,,,,
,,         Valor,MP,9,8,108,16,207,135,285,118,121,35,143,81,433,427,417,110,1.010,2.557,473,424,1.609,1.888,642,232,59,,,,,,
,,       Sacos y bolsas de materias textiles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,3.141,4.343,4.244,2.994,1.620,2.393,2.549,2.819,22.723,13.203,2.023,1.097,1.109,34.728,7.176,6.172,14.222,120.289,8.559,7.919,6.575,7.953,7.468,6.157,10.999,,,,,,
,,         Valor,MP,6.860,8.857,8.487,6.042,3.568,5.422,6.342,6.572,8.779,10.001,7.000,3.879,4.798,4.669,7.623,8.324,6.164,6.511,7.014,6.045,5.645,5.160,5.615,4.192,17.578,,,,,,
,66,"     Manufacturas de minerales no metálicos,  n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,81.749,87.730,114.211,103.386,83.642,91.999,104.511,106.069,125.734,140.712,212.420,120.620,149.417,158.390,190.437,177.785,156.208,192.946,177.738,171.350,207.970,144.779,111.333,113.361,125.505,,,,,,
,,"       Cementos, morteros y hormigón refractarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"         y compuestos análogos, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,12.656,12.006,6.684,3.815,3.681,3.479,3.668,3.834,4.680,5.029,5.284,3.008,3.368,4.263,5.690,3.579,2.677,4.349,1.902,3.670,4.408,5.189,5.132,4.501,1.739,,,,,,
,,         Valor,MP,8.447,6.673,3.940,2.894,2.261,3.110,2.918,2.481,2.947,3.902,5.002,2.582,4.059,5.797,8.944,4.150,2.955,3.960,1.967,3.414,5.313,5.039,4.624,4.889,3.365,,,,,,
,,"       Baldosas, losas para pavimentos, chimeneas  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        y muros, esmaltado; cubos de mosaico de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        cerámica, esmaltados, y artículos análogos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,Mm2,7.665,14.503,24.437,12.803,3.347,4.121,2.851,3.526,6.257,9.677,7.325,2.807,7.584,2.748,4.320,35.086,6.708,8.731,16.808,66.283,0,-,-,-,-,,,,,,
,,         Valor,MP,7.428,11.118,15.026,17.688,12.386,14.085,13.943,13.145,27.445,25.624,31.114,14.676,27.197,15.511,24.751,26.884,29.704,29.904,29.771,37.237,0,-,-,-,-,,,,,,
,,       Fibras de asbesto cemento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,434,558,3.238,1.032,1.290,1.265,686,692,923,1.936,1.631,2.302,76,110,55,70,65,10,9,9,7,21,7,10,4,,,,,,
,,         Valor,MP,2.205,2.998,6.835,1.718,1.726,2.429,1.383,1.198,1.469,2.122,1.182,1.204,937,979,697,890,723,347,147,334,107,310,130,192,35,,,,,,
,,       Materiales de fricción y sus manufacturas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,346,399,478,457,433,343,635,374,878,1.672,1.719,997,850,881,651,1.584,1.800,2.137,1.695,967,1.356,923,703,477,410,,,,,,
,,"       Garrafas, botellas, frascos, jarros, potes y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         otros recipientes de vidrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,88.638,172.350,272.070,165.441,134.462,197.106,221.116,302.427,213.602,233.890,284.692,280.889,288.025,304.436,270.251,361.515,237.088,271.286,298.526,161.334,209.274,134.669,105.068,80.468,80.389,,,,,,
,,         Valor,MP,13.560,16.497,18.367,19.834,16.623,18.514,22.863,22.309,20.282,28.348,45.189,33.739,42.047,43.210,43.108,44.749,33.958,43.979,35.176,29.831,30.898,26.681,20.251,19.722,27.548,,,,,,
,67,     Hierro y acero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,117.098,150.889,111.940,109.679,65.312,81.651,111.752,188.718,185.971,223.017,318.408,263.825,275.745,372.144,279.370,332.784,199.706,290.194,235.580,227.350,289.433,239.516,203.301,187.316,230.587,,,,,,
,,"       Productos laminados planos, de hierro  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       o  de acero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,-,-,-,-,-,-,53.299,115.172,83.555,73.463,85.677,98.538,115.694,158.363,81.922,127.028,77.877,130.608,123.649,92.852,93.416,85.453,40.317,37.434,30.208,,,,,,
,,         Valor,MP,-,-,-,-,-,-,44.992,91.538,75.138,100.047,139.971,131.319,124.463,213.775,116.330,149.178,85.476,129.587,106.976,105.391,145.063,110.575,65.601,69.520,70.380,,,,,,
,,"       Productos laminados planos, de hierro o de acero ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        no aleado, n.e.p., de un ancho ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       de 600 mm o más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,719,2.246,214,532,464,631,426,2.878,4.956,1.609,319,24,159,144,355,206,103,2.400,2.905,336,11.173,637,2.287,16.738,9.417,,,,,,
,,         Valor,MP,643,2.145,471,494,438,541,781,4.608,6.249,2.483,638,22,210,304,494,229,144,2.306,2.906,934,14.286,1.035,3.544,38.345,16.711,,,,,,
,,       Otras barras o varillas de hierro o acero no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        aleado con un contenido en peso de menos de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        0,6 % de carbono, laminados en caliente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,11.706,19.029,12.449,6.609,5.752,8.992,7.394,8.303,10.516,8.031,7.045,15.506,17.429,22.127,11.869,15.943,7.174,27.141,10.566,11.573,6.469,8.488,1.180,4.476,4.932,,,,,,
,,         Valor,MP,4.062,5.524,4.000,2.054,1.676,2.913,4.114,4.434,5.301,4.991,8.191,14.764,12.870,18.237,10.411,13.087,7.605,17.139,6.608,8.673,7.113,8.704,1.118,5.160,7.156,,,,,,
,,"       Tubos, caños y perfiles huecos y accesorios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         para tubos y caños de hierro y acero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Cantidad,t,29.860,32.149,20.072,30.610,16.219,20.998,22.122,32.144,29.854,29.428,37.500,21.968,27.994,23.369,30.122,29.410,23.784,33.570,32.418,22.836,18.988,18.416,10.204,8.663,10.608,,,,,,
,,          Valor,MP,41.776,45.783,31.997,37.505,21.317,29.453,38.764,56.431,64.324,82.403,99.829,57.425,62.516,76.414,77.607,77.862,54.894,62.891,61.349,44.983,50.836,58.890,34.713,25.587,40.371,,,,,,
,68,     Metales no ferrosos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,37.730,52.128,36.876,40.963,33.018,33.517,42.390,64.305,87.646,72.161,84.382,44.548,62.298,67.531,75.385,81.239,49.746,75.465,61.682,55.745,54.321,50.170,27.588,26.879,38.259,,,,,,
,,       Alambre de cobre refinado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,3.428,2.847,3.350,2.567,772,1.261,898,3.603,4.859,3.952,2.657,844,1.666,1.108,1.800,1.659,883,2.477,1.975,1.521,1.363,877,866,278,504,,,,,,
,,         Valor,MP,7.612,6.718,7.249,5.357,2.966,3.401,3.030,14.766,31.239,27.533,19.508,6.552,12.084,10.465,16.231,15.556,8.085,16.953,11.766,11.903,11.290,7.377,4.954,2.954,8.379,,,,,,
,,       Tubos y caños de cobre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,788,657,410,351,219,168,144,194,421,344,469,199,196,302,282,218,467,480,347,348,424,250,290,102,117,,,,,,
,,         Valor,MP,1.693,3.464,2.384,1.793,1.156,1.220,1.288,1.908,4.321,4.007,6.392,2.783,2.935,4.967,4.222,3.532,7.077,6.349,4.618,3.778,5.903,3.057,3.282,1.903,1.114,,,,,,
,,       Plomo refinado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,1.102,4.230,319,1.385,887,1.085,674,303,902,327,846,814,1.345,1.458,1.191,1.485,917,1.647,1.234,1.086,345,1.339,229,117,155,,,,,,
,,         Valor,MP,1.365,15.237,295,1.333,595,831,731,284,1.326,948,2.187,1.391,3.206,4.410,3.136,3.938,2.389,4.491,2.977,3.105,1.343,3.778,591,348,682,,,,,,
,69,"     Manufacturas de metales, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,141.184,152.491,162.428,163.643,132.116,142.281,155.275,221.923,327.075,293.134,399.335,282.220,245.328,297.530,320.507,378.377,300.667,368.151,367.314,337.906,379.787,355.393,232.514,203.019,237.213,,,,,,
,,       Cables de hierro o de acero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,1.556,2.948,2.082,2.513,1.861,2.732,2.180,1.815,4.308,2.438,2.397,1.155,1.751,1.798,2.760,2.155,1.651,3.910,2.161,1.519,1.353,1.193,714,591,428,,,,,,
,,         Valor,MP,3.085,4.219,3.844,3.039,2.821,4.967,3.464,3.900,7.078,4.936,6.979,3.662,4.402,4.725,6.996,5.724,4.578,8.766,3.395,3.640,3.589,3.451,3.291,1.857,1.762,,,,,,
,,"       Otras estructuras y partes de estructuras,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"         n.e.p., de hierro o acero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,5.080,6.410,11.793,5.782,4.679,5.784,5.816,12.480,11.044,13.301,35.186,43.607,19.083,21.630,25.919,47.526,18.012,27.708,31.328,40.816,45.995,54.769,51.321,16.093,32.505,,,,,,
,,       Puertas y ventanas y sus marcos y umbrales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"         para puertas, de aluminio (c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,Mm2,1.057,1.011,2.004,869,173,221,27,20,24,71,97,138,147,142,178,85,86,295,317,266,283,577,584,477,534,,,,,,
,,         Valor,t,9.695,6.980,7.959,10.659,4.665,6.499,1.302,538,721,1.042,1.001,596,1.065,1.422,1.429,808,1.791,2.094,3.107,3.193,3.979,7.811,5.518,4.461,6.365,,,,,,
,,"       Estructuras de aluminio y partes de estructuras,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        n.e.p.; planchas, varillas, perfiles, tubos, etc., de ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        aluminio, preparados para su utilización en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        estructuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad (c),Mm2,594,951,2.547,2.085,928,687,569,1.483,2.261,1.561,2.044,1.018,1.027,2.202,2.144,1.583,1.408,1.176,1.870,1.288,1.412,1.411,1.307,543,925,,,,,,
,,         Valor,t,6.989,8.741,9.663,12.030,6.095,3.672,2.746,4.861,13.780,12.682,13.722,6.967,7.922,9.914,19.803,14.894,8.829,7.133,11.050,8.070,11.403,12.294,10.404,4.408,9.413,,,,,,
,,"       Barriles, tambores, bidones, cajas y recipientes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        análogos de aluminio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,JUL,163.502,154.049,173.313,223.340,207.540,259.167,232.282,392.861,382.102,430.073,568.618,422.816,474.735,514.195,577.214,567.377,534.649,557.742,491.306,554.077,591.934,570.902,242.051,195.386,96.847,,,,,,
,,         Valor,MPH,12.958,13.067,13.663,13.742,15.276,20.707,18.910,35.245,28.444,37.008,42.899,36.041,40.518,47.650,49.640,50.814,46.493,46.028,40.956,44.816,55.294,50.398,21.739,16.700,12.900,,,,,,
,,"       Alambre de púa, de hierro o acero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,3.765,3.284,2.063,1.489,767,472,2.275,3.000,1.414,1.085,4.013,1.065,1.693,1.396,1.020,275,603,873,2.259,217,293,129,161,780,1.317,,,,,,
,,         Valor,MPH,3.345,3.005,2.199,1.528,668,458,2.548,3.354,1.674,2.113,7.769,2.358,3.631,2.628,2.608,1.044,793,1.918,4.535,597,734,317,418,2.037,2.661,,,,,,
,,"       Tornillos, pernos, tuercas, tirafondos, ganchos,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        remaches, chavetas, arandelas y artículos ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        análogos de hierro o acero, roscados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,3.578,5.411,3.326,3.881,2.825,2.012,2.295,3.141,4.358,3.213,5.126,3.021,2.005,2.351,3.469,6.035,2.828,4.449,4.829,3.857,3.213,4.138,3.091,2.599,1.734,,,,,,
,,         Valor,MP,9.025,11.872,7.179,8.726,7.006,6.601,13.535,11.784,14.069,13.099,22.084,14.834,10.775,16.566,19.928,21.231,15.711,17.856,18.757,16.929,19.259,17.942,11.549,13.034,12.818,,,,,,
,,"       Alambres, varillas, tubos, placas, electrodos y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        artículos similares de metales comunes o car-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        buros metálicos con revestimiento o con alma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        de material fundente, para soldadura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,2.215,4.111,2.106,2.080,1.728,2.288,2.026,2.691,2.618,2.516,4.865,2.257,2.021,3.206,2.918,2.483,1.895,2.043,2.508,2.321,2.758,2.528,1.519,2.399,2.394,,,,,,
,,         Valor,MP,5.631,8.007,5.734,4.469,4.743,4.497,5.368,6.168,6.176,7.281,13.130,7.251,7.734,11.421,11.384,11.317,9.436,9.550,9.341,7.621,10.807,9.534,6.978,7.874,8.225,,,,,,
,,"       Artículos de aluminio, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,438,570,650,648,454,647,739,1.129,992,1.130,3.295,1.151,630,363,318,1.177,875,782,728,842,704,633,788,527,365,,,,,,
,,         Valor,MP,3.490,4.901,5.032,4.252,3.319,3.828,3.374,5.293,5.516,7.495,16.892,7.699,5.175,5.411,6.205,11.778,8.511,7.836,7.980,9.113,7.811,8.684,6.084,6.068,5.355,,,,,,
7 ,,Maquinaria y equipo de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,1.130.414,1.144.441,1.202.330,1.236.900,982.494,1.000.474,1.213.986,1.818.717,3.097.397,3.005.681,3.154.618,1.781.022,1.668.506,1.954.198,1.939.893,2.524.865,1.978.073,2.741.841,2.713.323,2.483.957,2.587.703,2.296.768,1.614.556,1.349.604,1.532.689,,,,,,
,71,       Maquinaria y equipo generadores de fuerza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,208.992,129.110,131.725,108.580,67.272,76.749,101.672,326.287,713.380,546.495,538.726,209.071,191.986,291.110,255.159,312.272,236.334,225.013,237.179,244.892,285.702,238.813,87.748,74.818,151.685,,,,,,
,,"         Partes y piezas, n.e.p., de las calderas genera-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          doras de vapor de agua o vapores de otras ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          clases, calderas de agua sobrecalentada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Valor,MP,32.371,24.414,11.255,7.897,855,4.068,4.581,7.172,2.533,3.780,4.867,4.280,10.206,51.767,5.150,9.710,3.777,3.404,4.426,6.457,10.706,10.416,1.082,324,776,,,,,,
,,"         Motores de combustión interna para aviones,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          de émbolo y sus partes y piezas, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Cantidad,U,39,46,46,46,27,29,58,8,40,29,48,34,31,36,36,23,29,34,33,16,13,30,5,24,1,,,,,,
,,            Valor,MP,2.670,3.199,4.432,3.035,671,1.679,3.458,2.029,6.882,6.905,17.366,9.093,8.232,17.682,9.858,4.218,13.130,8.072,7.032,13.086,1.653,2.495,2.155,3.375,16,,,,,,
,,         Motores de émbolo de movimiento alternativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          de más de 1000 cm3 de cilindrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Cantidad,U,1.241,6.267,2.428,1.523,2.532,3.289,2.625,4.684,4.688,2.819,5.511,1.321,2.546,2.097,3.985,4.564,3.490,36.597,2.375,924,1.843,1.085,1.766,373,395,,,,,,
,,            Valor,MP,1.525,5.782,2.689,1.789,3.425,2.905,3.289,5.991,6.100,4.341,8.989,2.548,3.572,3.786,6.130,6.508,5.704,3.924,4.343,1.729,2.898,2.234,2.301,1.270,1.056,,,,,,
,,         Motores de encendido por compresión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          diesel o semidiesel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
