"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección ",,,,,,,,,"4.3 - Principales entidades clasificadas por formas de organización, organización superior de dirección empresarial y ",,,,,,
"        empresarial y órgano u organismo, año 2018",,,,,,,"        empresarial y órgano u organismo, año 2019",,,,,,,"        empresarial y órgano u organismo, año 2020",,,,,,,,,"        empresarial y órgano u organismo, año 2021",,,,,,,,,"      órgano u organismo, año 2022",,,,,,
,,,,,Unidad,,,,,,,Unidad,,,,,,,Unidad,,,,,,,,,,,Unidad,,                                                                                                                                                               Unidad,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unidades,Empresas ,Sociedades,Empresas ,Mipyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCEPTO,Total,Presupuestadas,Estatales, Mercantiles,Filiales,Estatal
,,,,,Unidades,,,,,,,Unidades,,,,,,,Unidades,,,,,,,,,,Cooperativas Agropecuarias,Unidades,,,,,,,,
,,,Sociedades,,Presu-,,,,,Sociedades,,Presu-,,,,,Sociedades,,Presu-,,,,,,,Sociedades,,,,Presu-,,Total,4.734,2.418,1.863,268,134,51
CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,,,CONCEPTO,Total,Empresas , Mercantiles,MIPYMES,CNoA,,puestadas,,,,,,,,
 Instituto de Recursos Hidráulicos,#VALUE!,65,1,-,17,, Instituto de Recursos Hidráulicos,#VALUE!,20,1,-,14,, Instituto de Recursos Hidráulicos,18,-,1,-,"17,0 ",,,,Subordinado al Organismo Superior,18,-,9,-,3,-,"6,0 ",,Grupo Empresarial de la Industria Agroalimentaria,46,-,39,-,7,-
 Entidades de Recursos Hidraúlicos,#VALUE!,-,-,-,1,, Entidades de Recursos Hidraúlicos,#VALUE!,-,-,-,1,, Grupo Empresarial de Agua y Saneamiento,30,29,-,-,"1,0 ",,,,Grupo Empresarial de la Industria Pesquera,1,1,-,-,-,-,-,, Grupo Empresarial de la Industria Alimentaria,32,-,26,1,5,-
 Grupo Empresarial de Acueducto y Alcantarillado,#VALUE!,4,-,-,-,, Grupo Empresarial de Agua y Saneamiento,#VALUE!,9,-,-,1,, Grupo Empresarial de Gestion de las  Agua  Terrestres,38,37,-,-,"1,0 ",,,,Grupo Empresarial de la Industria Agroalimentaria,1,1,-,-,-,-,-,, Instituto de Recursos Hidráulicos,89,21,66,1,1,-
 Ministerio de la Construcción,#VALUE!,-,-,67,4,, Grupo Empresarial de Gestion de las  Agua  Terrestres,#VALUE!,37,-,-,1,, Ministerio de la Construcción,70,-,-,66,"4,0 ",,,, Grupo Empresarial de la Industria Alimentaria,93,93,-,-,-,-,-,,Subordinado al Organismo Superior,20,19,-,1,-,-
 Grupo Empresarial de Diseño e Ingeniería de la Construcción GEDIC,#VALUE!,32,3,-,-,, Ministerio de la Construcción,#VALUE!,-,-,67,4,, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,35,32,3,-,-,,,, Instituto de Recursos Hidráulicos,86,66,1,0,0,0,"19,0 ",, Grupo Empresarial de Agua y Saneamiento,31,1,29,-,1,-
 Grupo empresarial de Construcción y Montaje GECONS,#VALUE!,55,-,-,-,, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,#VALUE!,32,3,-,-,, Grupo empresarial de Construcción y Montaje GECONS,52,52,-,-,-,,,,Subordinado al Organismo Superior,18,-,1,-,-,-,"17,0 ",, Grupo Empresarial de Gestion de las Agua Terrestres,38,1,37,-,-,-
 Grupo empresarial de Materiales de la Construcción GEICON,#VALUE!,40,4,-,-,, Grupo empresarial de Construcción y Montaje GECONS,#VALUE!,52,-,-,-,, Grupo empresarial de Materiales de la Construcción GEICON,45,41,4,-,-,,,, Grupo Empresarial de Agua y Saneamiento,30,29,-,-,-,-,"1,0 ",, Ministerio de la Construcción,142,4,124,7,7,-
 Ministerio de la Agricultura,4.268,5,1,4.104,158,, Grupo empresarial de Materiales de la Construcción GEICON,#VALUE!,41,4,-,-,, Ministerio de la Agricultura,4.257,4,1,4.094,"158,0 ",,,, Grupo Empresarial de Gestion de las  Agua  Terrestres,38,37,-,-,-,-,"1,0 ",,Subordinado al Organismo Superior,4,4,-,-,-,-
 Grupo Empresarial Agropecuario y Forestal Artemisa ,#VALUE!,10,-,-,-,, Ministerio de la Agricultura,4.258,4,1,4.095,158,, Grupo Empresarial Agropecuario y Forestal Artemisa ,10,10,-,-,-,,,, Ministerio de la Construcción,202,125,7,0,66,0,"4,0 ",, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,42,-,32,3,7,-
 Grupo Empresarial Agropecuario y Forestal Mayabeque,#VALUE!,10,-,-,-,, Grupo Empresarial Agropecuario y Forestal Artemisa ,#VALUE!,10,-,-,-,, Grupo Empresarial Agropecuario y Forestal Mayabeque,10,10,-,-,-,,,,Subordinado al Organismo Superior,70,-,-,-,66,-,"4,0 ",, Grupo empresarial de Construcción y Montaje GECONS,52,-,52,-,-,-
 Grupo Empresarial Ganadero,90,85,1,-,4,, Grupo Empresarial Agropecuario y Forestal Mayabeque,#VALUE!,10,-,-,-,, Grupo Empresarial Ganadero,90,89,1,-,-,,,, Grupo Empresarial de Diseño e Ingeniería de la Construcción ,35,32,3,-,-,-,-,, Grupo empresarial de Materiales de la Construcción GEICON,44,-,40,4,-,-
 Grupo Empresarial de Logística,25,25,-,-,-,, Grupo Empresarial Ganadero,90,89,1,-,-,, Grupo Empresarial de Logística,25,25,-,-,-,,,, Grupo empresarial de Construcción y Montaje GECONS,52,52,-,-,-,-,-,, Ministerio de la Agricultura,593,192,373,8,20,-
 Grupo Empresarial Agrícola,81,74,1,-,6,, Grupo Empresarial de Logística,25,25,-,-,-,, Grupo Empresarial Agrícola,67,60,1,-,"6,0 ",,,, Grupo empresarial de Materiales de la Construcción GEICON,45,41,4,-,-,-,-,,Subordinado al Organismo Superior,188,183,4,1,-,-
 Grupo Empresarial Flora y Fauna,8,7,1,-,-,, Grupo Empresarial Agrícola,68,61,1,-,6,, Grupo Empresarial Flora y Fauna,12,11,1,-,-,,,, Ministerio de la Agricultura,4.492,263,6,0,17,4.014,"192,0 ",,Grupo Empresarial Agropecuario y Forestal Artemisa,11,-,10,-,1,-
 Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,#VALUE!,21,1,-,-,, Grupo Empresarial Flora y Fauna,9,8,1,-,-,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,23,22,1,-,-,,,,Subordinado al Organismo Superior,4.219,4,1,-,17,4.014,"183,0 ",,Grupo Empresarial Agropecuario y Forestal Mayabeque,10,-,10,-,-,-
 Grupo Empresarial Agroforestal,78,75,1,-,2,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,#VALUE!,21,1,-,-,, Grupo Empresarial Agroforestal,76,73,1,-,"2,0 ",,,, Grupo Empresarial Agropecuario y Forestal Artemisa ,,,,,,,,,Grupo Empresarial Ganadero,90,-,89,1,-,-
 Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,, Grupo Empresarial Agroforestal,76,73,1,-,2,, Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,,,, Grupo Empresarial de Logística,25,25,-,-,-,-,-,, Grupo Empresarial de Logística,29,-,25,-,4,-
 Ministerio del Transporte,25,3,4,8,10,, Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,, Grupo Empresarial de Acopio,"14,0 ","14,0 ",-,-,-,,,, Grupo Empresarial Agrícola,"67,0 ","59,0 ","1,0 ",-,-,-,"7,0 ",, Grupo Empresarial Agrícola,68,7,59,2,-,-
 Grupo Empresarial de Servicios de Transporte Automotor,#VALUE!,19,2,-,-,, Ministerio del Transporte,20,2,4,5,9,, Ministerio del Transporte,20,2,5,5,"8,0 ",,,, Grupo Empresarial Flora y Fauna,25,24,1,-,-,-,-,, Grupo Empresarial Flora y Fauna,25,-,24,1,-,-
 Grupo Empresarial de Transporte Marítimo Portuario,#VALUE!,24,4,-,-,, Grupo Empresarial de Servicios de Transporte Automotor,#VALUE!,18,2,-,-,, Grupo Empresarial de Servicios de Transporte Automotor,20,18,2,-,-,,,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,23,22,1,-,-,-,-,, Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,23,-,22,1,-,-
" Corporación de la Aviación Cubana, S.A.",#VALUE!,-,12,-,-,, Grupo Empresarial de Transporte Marítimo Portuario,#VALUE!,24,4,-,-,, Grupo Empresarial de Transporte Marítimo Portuario,29,25,4,-,-,,,, Grupo Empresarial Agroforestal,76,73,1,-,-,-,"2,0 ",, Grupo Empresarial Agroforestal,83,2,74,1,6,-
 Grupo Empresarial Constructor del Transporte,#VALUE!,17,-,-,-,," Corporación de la Aviación Cubana, S.A.",#VALUE!,-,12,-,-,," Corporación de la Aviación Cubana, S.A.",12,-,12,-,-,,,, Grupo Empresarial de Tabaco de Cuba,43,42,1,-,-,-,-,, Grupo Empresarial de Tabaco de Cuba,50,-,42,1,7,-
 Unión de Ferrocarriles de Cuba,#VALUE!,8,-,-,-,, Grupo Empresarial Constructor del Transporte,#VALUE!,11,-,-,-,, Grupo Empresarial Constructor del Transporte,6,6,-,-,-,,,, Grupo Empresarial de Acopio,14,14,,-,-,-,-,, Grupo Empresarial de Acopio,16,-,14,,2,-
 Ministerio de Comunicaciones,#VALUE!,-,2,-,7,, Unión de Ferrocarriles de Cuba,#VALUE!,10,-,-,-,, Unión de Ferrocarriles de Cuba,12,12,-,-,-,,,, Ministerio del Transporte,96,59,24,0,5,0,"8,0 ",, Ministerio del Transporte,100,8,55,24,13,-
 Grupo Empresarial Correos de Cuba,#VALUE!,21,-,-,-,, Ministerio de Comunicaciones,#VALUE!,-,2,-,7,, Ministerio de Comunicaciones,10,-,3,-,"7,0 ",,,,Subordinado al Organismo Superior,20,2,5,-,5,-,"8,0 ",,Subordinado al Organismo Superior,13,8,-,5,-,-
 Grupo Empresarial de la Informática y las Comunicaciones,#VALUE!,10,7,-,-,, Grupo Empresarial Correos de Cuba,#VALUE!,21,-,-,-,, Grupo Empresarial Correos de Cuba,21,21,-,-,-,,,, Grupo Empresarial de Servicios de Transporte Automotor,21,19,2,-,-,-,-,, Grupo Empresarial de Servicios de Transporte Automotor,33,-,19,2,12,-
 Ministerio del Comercio Interior,#VALUE!,1,-,2,4,, Grupo Empresarial de la Informática y las Comunicaciones,#VALUE!,10,6,-,-,, Grupo Empresarial de la Informática y las Comunicaciones,16,9,7,-,-,,,, Grupo Empresarial de Transporte Marítimo Portuario,29,25,4,-,-,-,-,, Grupo Empresarial de Transporte Marítimo Portuario,29,-,24,4,1,-
 Grupo de Empresas Mayoristas de Productos Alimenticios y,   ,,,,,, Ministerio del Comercio Interior,#VALUE!,1,-,2,4,, Ministerio del Comercio Interior,7,1,-,2,"4,0 ",,,," Corporación de la Aviación Cubana, S.A.",12,-,12,-,-,-,-,," Corporación de la Aviación Cubana, S.A.",12,-,-,12,-,-
   otros Bienes de Consumo,#VALUE!,21,-,-,-,, Grupo de Empresas Mayoristas de Productos Alimenticios y,   ,,,,,,Grupo de Empresas Mayoristas de Productos Alimenticios,   ,,,,,,,, Grupo Empresarial Constructor del Transporte,1,1,-,-,-,-,-,, Unión de Ferrocarriles de Cuba,13,-,12,1,-,-
 Grupo Comercializador de Productos Industriales y de Servicios,#VALUE!,21,-,-,-,,   otros Bienes de Consumo,#VALUE!,21,-,-,-,,y otros Bienes de Consumo,21,21,-,-,-,,,, Unión de Ferrocarriles de Cuba,13,12,1,-,-,-,-,, Ministerio de Comunicaciones,46,7,30,9,-,-
 Ministerio del Comercio Exterior y la Inversión Extranjera,#VALUE!,-,-,-,5,, Grupo Comercializador de Productos Industriales y de Servicios,#VALUE!,21,1,-,-,, Grupo Comercializador de Productos Industriales y de Servicios,22,21,1,-,-,,,, Ministerio de Comunicaciones,47,30,10,0,0,0,"7,0 ",,Subordinado al Organismo Superior,10,7,-,3,-,-
 Grupo Empresarial del Comercio Exterior,#VALUE!,13,5,-,-,, Ministerio del Comercio Exterior y la Inversión Extranjera,#VALUE!,-,-,-,5,, Ministerio del Comercio Exterior y la Inversión Extranjera,1,-,-,-,"1,0 ",,,,Subordinado al Organismo Superior,10,-,3,-,-,-,"7,0 ",, Grupo Empresarial Correos de Cuba,21,-,21,-,-,-
" Ministerio de Ciencias, Tecnología y Medio Ambiente",#VALUE!,8,2,-,71,, Grupo Empresarial del Comercio Exterior,#VALUE!,13,5,-,-,, Grupo Empresarial del Comercio Exterior,25,13,12,-,-,,,, Grupo Empresarial Correos de Cuba,21,21,-,-,-,-,-,, Grupo Empresarial de la Informática y las Comunicaciones,15,-,9,6,-,-
 Agencia de Medio Ambiente,#VALUE!,-,-,-, 1,," Ministerio de Ciencias, Tecnología y Medio Ambiente",#VALUE!,6,2,-,73,," Ministerio de Ciencias, Tecnología y Medio Ambiente",76,6,2,-,"68,0 ",,,, Grupo Empresarial de la Informática y las Comunicaciones,16,9,7,-,-,-,-,, Ministerio del Comercio Interior,50,4,45,1,-,-
 Ministerio de Educación,#VALUE!,-,-,-,5,, Agencia de Medio Ambiente,#VALUE!,-,-,-,1,, Agencia de Medio Ambiente,8,-,-,-,"8,0 ",,,, Ministerio del Comercio Interior,52,45, 1, 0, 2,0,"4,0 ",,Subordinado al Organismo Superior,5,4,1,-,-,-
