,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,Total,9 740,1 867, 258, 270,5 211, 426,1 459, 863,2 463,2 404,,Total,14 536,2 418,1 863, 268, 134, 51,4 665,5 137, 474,1 394, 839,2 430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agricultura, ganadería, caza y silvicultura",5 018,1,275,-,3,-,76,4.663,-,1.394,839,2.430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agricultura, ganadería, caza y silvicultura",5.060,273,-,7,4.785,-,1.459,863,2.463,2,,Pesca, 61,1,22,2,-,-,34,2,2,-,-,-
  Pesca,26,26,-,-,  Pesca,26,26,-,-,  Pesca,26,26,-,-,  Pesca,26,26,-,-,  Pesca,37,37,-,-,  Pesca,27,27,-,-,  Pesca,27,27,-,-,Pesca,27,25,2,-,-,-,-,-,-,Pesca,27,25,2,-,-,-,-,-,-,Pesca,27,25,2,-,-,-,-,-,-,Pesca,26,24,2,-,-,-,-,-,-,,Pesca, 26,24,2,-,-,-,-,-,-,,Pesca, 26,24,2,-,-,-,-,-,-,,Pesca, 25,23,2,-,-,-,-,-,-,,,Pesca, 25,23,2,-,-,-,-,-,-,,Industria azucarera,57,57,-,-,-,-,-,-,-,-,,Industrias manufactureras  (excepto industria azucarera),2 240,31,357,22,34,20,1.717,59,59,-,-,-
  Explotación de Minas y Canteras,39,39,-,-,  Explotación de Minas y Canteras,31,31,-,-,  Explotación de minas y canteras,30,30,-,-,  Explotación de minas y canteras,30,30,-,-,  Explotación de minas y canteras,27,27,-,-,  Explotación de minas y canteras,27,27,-,-,  Explotación de minas y canteras,27,27,-,-,Explotación de minas y canteras,25,21,4,-,-,-,-,-,-,Explotación de minas y canteras,24,20,4,-,-,-,-,-,-,Explotación de minas y canteras,24,20,4,-,-,-,-,-,-,Explotación de minas y canteras,24,20,4,-,-,-,-,-,-,,Explotación de minas y canteras, 25,20,5,-,-,-,-,-,-,,Explotación de minas y canteras, 24,19,5,-,-,-,-,-,-,,Explotación de minas y canteras, 25,20,5,-,-,-,-,-,-,,,Explotación de minas y canteras, 25,20,5,-,-,-,-,-,-,,Industrias manufactureras                   (excepto industria azucarera),454,357,22,155,49,49,-,-,-,26,,"Suministro de electricidad, gas y agua", 72,-,65,-,-,-,4,3,3,-,-,-
  Industria Azucarera,66,66,-,-,  Industria Azucarera,66,66,-,-,  Industria azucarera,65,65,-,-,  Industria azucarera,65,65,-,-,  Industria azucarera,62,62,-,-,  Industria azucarera,14,14,-,-,  Industria azucarera,14,14,-,-,Industria Azucarera,14,14,-,-,-,-,-,-,-,Industria Azucarera,13,13,-,-,-,-,-,-,-,Industria Azucarera,13,13,-,-,-,-,-,-,-,Industria Azucarera,13,13,-,-,-,-,-,-,-,,Industria azucarera, 13,13,-,-,-,-,-,-,-,,Industria azucarera, 13,13,-,-,-,-,-,-,-,,Industria azucarera, 13,13,-,-,-,-,-,-,-,,,Industria azucarera, 13,13,-,-,-,-,-,-,-,,"Suministro de electricidad, gas y agua",68,65,-,-,3,3,-,-,-,-,,Construcción,1 377,5,157,10,10,5,1.115,75,75,-,-,-
  Industria Manufacturera,821,786,-,35,  Industria Manufacturera,833,798,-,35,  Industria manufacturera,815,779,-,36,  Industria manufacturera,781,742,-,39,  Industria manufacturera,732,704,-,28,  Industria manufacturera,599,573,-,26,  Industria manufacturera ,546,521,-,25,Industrias Manufactureras (exc. azucarera),535,471,19,21,21,-,-,-,24,Industrias Manufactureras (exc. azucarera),437,345,20,49,49,-,-,-,23,Industrias Manufactureras (exc. azucarera),429,336,19,49,49,-,-,-,25,Industrias Manufactureras (exc. azucarera),423,329,18,49,49,-,-,-,27,,Industrias manufactureras (exc. azucarera), 410,315,21, 49,49,-,-,-,25,,Industrias manufactureras,,,,,,,,,,,Industrias manufactureras,,,,,,,,,,,,Industrias manufactureras,,,,,,,,,,,Construcción,229,157,9,12,58,58,-,-,-,5,,Comercio; reparación de  efectos personales, 957,13,354,53,47,9,353,128,128,-,-,-
"  Suministro de Electricidad, Gas y Agua",63,60,-,3,"  Suministro de Electricidad, Gas y Agua",63,60,-,3,"  Suministro de electricidad, gas y agua",263,216,-,47,"  Suministro de electricidad, gas y agua",66,64,-,2,"  Suministro de electricidad, gas y agua",64,63,-,1,"  Suministro de electricidad, gas y agua",65,65,-,-,  Construcción,200,200,-,-,Construcción,240,184,11,28,28,-,-,-,17,Construcción,248,166,9,59,59,,-,-,14,Construcción,243,167,8,61,61,-,-,-,7,Construcción,235,160,8,60,60,-,-,-,7,,Construcción, 226,152,8, 60,60,-,-,-,6,, (exc. azucarera), 381,310,22, 49,49,-,-,-,25,, (exc. azucarera), 408,315,21, 47,47,-,-,-,25,,, (exc. azucarera), 419,326,22, 45,45,-,-,-,"26,0 ",,Comercio; reparación de  efectos personales,555,360,55,30,127,127,-,-,-,13,,Hoteles y restaurantes,1 023,2,126,12,2,4,719,158,158,-,-,-
  Construcción,272,237,-,35,  Construcción,246,214,-,32,  Construcción,62,60,-,2,  Construcción,269,220,-,49,  Construcción,248,210,-,38,  Construcción,224,202,-,22,"  Suministro de electricidad, gas y agua",86,65,-,21,"Suministro de electricidad, gas y agua",65,65,-,-,-,-,-,-,-,"Suministro de electricidad, gas y agua",69,65,-,4,4,-,-,-,-,"Suministro de electricidad, gas y agua",70,66,-,4,4,-,-,-,-,"Suministro de electricidad, gas y agua",70,66,-,4,4,-,-,-,-,,"Suministro de electricidad, gas y agua", 70,66,-, 4,4,-,-,-,-,,Construcción, 224,152,8, 59,59,-,-,-,5,,Construcción, 222,151,7, 59,59,-,-,-,5,,,Construcción, 220,150,7, 58,58,-,-,-,"5,0 ",,Hoteles y restaurantes,297,131,11,14,153,153,-,-,-,2,,"Transportes, almacenamiento  y comunicaciones", 349,12,86,40,14,1,190,6,6,-,-,-
  Comercio; Reparación de  Efectos Personales,646,624,-,22,  Comercio; Reparación de  Efectos Personales,648,626,-,22,  Comercio; reparación de  efectos personales,620,611,-,9,  Comercio; reparación de  efectos personales,615,575,-,40,  Comercio; reparación de  efectos personales,581,558,-,23,  Comercio; reparación de  efectos personales,538,521,-,17,  Comercio; reparación de efectos personales,491,475,-,16,"Transportes, almacenamiento ",,,,,,,,,,"Transportes, almacenamiento ",,,,,,,,,,"Transportes, almacenamiento ",,,,,,,,,,"Transportes, almacenamiento ",,,,,,,,,,,"Transportes, almacenamiento ",,,,,,,,,,,"Suministro de electricidad, gas y agua", 69,66,-, 3,3,-,-,-,-,,"Suministro de electricidad, gas y agua", 67,64,-, 3,3,-,-,-,-,,,"Suministro de electricidad, gas y agua", 67,64,-, 3,3,-,-,-,-,,"Transportes, almacenamiento  y comunicaciones",142,86,39,12,5,5,-,-,-,12,,Intermediación financiera, 38,1,8,28,-,1,-,-,-,-,-,-
  Hoteles y Restaurantes,240,231,-,9,  Hoteles y Restaurantes,233,224,-,9,  Hoteles y restaurantes,226,217,-,9,  Hoteles y restaurantes,220,212,-,8,  Hoteles y restaurantes,229,222,-,7,  Hoteles y restaurantes,213,207,-,6,  Hoteles y restaurantes,152,147,-,5,  y Comunicaciones,227,170,36,5,5,-,-,-,16,  y Comunicaciones,249,147,13,85,85,-,-,-,4,  y Comunicaciones,149,96,33,6,6,-,-,-,14,  y Comunicaciones,138,87,33,5,5,-,-,-,13,,  y comunicaciones, 137,85,34, 5,5,-,-,-,13,,"Transportes, almacenamiento ",,,,,,,,,,,"Transportes, almacenamiento ",,,,,,,,,,,,"Transportes, almacenamiento ",,,,,,,,,,,Intermediación financiera,35,8,26,-,-,-,-,-,-,1,,"Servicios empresariales, actividades  inmobiliarias y de alquiler", 821,148,232,73,21,9,321,17,17,-,-,-
"  Transporte, Almacenamiento y Comunicaciones",389,371,-,18,"  Transporte, Almacenamiento y Comunicaciones",379,361,-,18,"  Transporte, almacenamiento y comunicaciones",371,352,-,19,"  Transporte, almacenamiento y comunicaciones",357,339,-,18,"  Transporte, almacenamiento y comunicaciones",319,303,-,16,"  Transporte, almacenamiento y comunicaciones",262,245,-,17,"  Transporte, almacenamiento y comunicaciones",223,206,-,17,Comercio; Reparación de ,,,,,,,,,,Comercio; Reparación de ,,,,,,,,,,Comercio; Reparación de ,,,,,,,,,,Comercio; Reparación de ,,,,,,,,,,,Comercio; reparación de ,,,,,,,,,,,  y comunicaciones, 137,85,34, 5,5,-,-,-,13,,  y comunicaciones, 139,85,36, 5,5,-,-,-,13,,,  y comunicaciones, 143,88,38, 5,5,-,-,-,"12,0 ",,"Servicios empresariales, actividades  inmobiliarias y de alquiler",450,228,70,34,6,6,-,-,-,146,,"Administración pública, defensa;  seguridad social", 894,882,6,5,-,1,-,-,-,-,-,-
  Intermediación financiera,34,33,-,1,  Intermediación financiera,34,33,-,1,  Intermediación financiera,34,34,-,-,  Intermediación financiera,32,32,-,-,  Intermediación financiera,33,33,-,-,  Intermediación financiera,33,33,-,-,  Intermediación financiera,33,33,-,-, efectos personales,604,412,48,128,128,-,-,-,16, efectos personales,581,392,43,130,130,-,-,-,16, efectos personales,571,382,42,131,131,-,-,-,16, efectos personales,568,378,42,132,132,-,-,-,16,, efectos personales, 562,372,40, 135,135,-,-,-,15,,Comercio; reparación de ,,,,,,,,,,,Comercio; reparación de ,,,,,,,,,,,,Comercio; reparación de ,,,,,,,,,,,"Administración pública, defensa;  seguridad social",887,4,4,-,-,-,-,-,-,879,,Ciencia e innovación tecnológica, 125,83,34,7,-,-,-,1,1,-,-,-
