,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,Total,9 740,1 867, 258, 270,5 211, 426,1 459, 863,2 463,2 404,,Total,14 536,2 418,1 863, 268, 134, 51,4 665,5 137, 474,1 394, 839,2 430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agricultura, ganadería, caza y silvicultura",5 018,1,275,-,3,-,76,4.663,-,1.394,839,2.430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agricultura, ganadería, caza y silvicultura",5.060,273,-,7,4.785,-,1.459,863,2.463,2,,Pesca, 61,1,22,2,-,-,34,2,2,-,-,-
  Servicios Empresariales Actividades inmobiliaria ,,,,,  Servicios Empresariales Actividades inmobiliaria ,"492,0 ","366,0 ",-,"126,0 ","  Servicios empresariales, actividades inmobiliaria ","604,0 ","356,0 ",-,"248,0 ","  Servicios empresariales, actividades inmobiliaria ",,,,,"  Servicios empresariales, actividades inmobiliaria ",,,,,"  Servicios empresariales, actividades inmobiliaria ",,,,,"  Servicios empresariales, actividades inmobiliaria ",,,,,Hoteles y restaurantes,184,157,11,12,12,-,-,-,4,Hoteles y restaurantes,174,118,36,6,6,-,-,-,14,Hoteles y restaurantes,256,146,15,91,91,-,-,-,4,Hoteles y restaurantes,275,140,15,116,116,-,-,-,4,,Hoteles y restaurantes, 301,129,15, 155,155,-,-,-,2,, efectos personales, 553,366,43, 130,130,-,-,-,14,, efectos personales, 560,372,44, 130,130,-,-,-,14,,, efectos personales, 566,374,52, 126,126,-,-,-,"14,0 ",,Ciencia e innovación tecnológica,120,32,3,-,1,1,-,-,-,84,,Educación, 273,269,2,-,-,-,2,-,-,-,-,-
    y de Alquiler,482,372,-,110,    y de Alquiler,,,-,,    y de alquiler,,,-,,    y de alquiler,644,363,-,281,    y de alquiler,645,348,-,297,    y de alquiler,612,311,-,301,    y de alquiler,573,313,-,260,Intermediación financiera,33,8,25,-,-,-,-,-,-,Intermediación financiera,31,8,23,-,-,-,-,-,-,Intermediación financiera,31,8,23,-,-,-,-,-,-,Intermediación financiera,31,8,23,-,-,-,-,-,-,,Intermediación financiera, 31,8,23,-,-,-,-,-,-,,Hoteles y restaurantes, 300,128,13, 157,157,-,-,-,2,,Hoteles y restaurantes, 298,126,14, 156,156,-,-,-,2,,,Hoteles y restaurantes, 295,127,13, 153,153,-,-,-,"2,0 ",,Educación,270,2,-,-,-,-,-,-,-,268,,Salud pública y asistencia social, 496,491,1,3,-,-,1,-,-,-,-,-
"  Administración Pública, Defensa, Seguridad Social",560,13,-,547,"  Administración Pública, Defensa, Seguridad Social",628,12,-,616,"  Administración pública, defensa, seguridad social",725,12,-,713,"  Administración pública, defensa, seguridad social",704,11,-,693,"  Administración pública, defensa, seguridad social",708,11,-,697,"  Administración pública, defensa, seguridad social",705,11,-,694,  Administración pública; defensa; seguridad social,595,10,-,585,"Servicios empresariales, actividades ",,,,,,,,,,"Servicios empresariales, actividades ",,,,,,,,,,"Servicios empresariales, actividades ",,,,,,,,,,"Servicios empresariales, actividades ",,,,,,,,,,,"Servicios empresariales, actividades ",,,,,,,,,,,Intermediación financiera, 32,7,24,-,-,-,-,-,1,,Intermediación financiera, 31,7,23,-,-,-,-,-,1,,,Intermediación financiera, 31,7,23,-,-,-,-,-,"1,0 ",,Salud pública y asistencia social,494,1,3,-,-,-,-,-,-,490,,Cultura; deporte, 406,341,34,8,-,1,22,-,-,-,-,-
  Ciencia e Innovación Tecnológica,117,12,-,105,  Ciencia e Innovación Tecnológica,118,11,-,107,  Ciencia e Innovación tecnológica,119,11,-,108,  Ciencia e Innovación tecnológica,124,14,-,110,  Ciencia e Innovación tecnológica,121,17,-,104,  Ciencia e Innovación tecnológica,121,14,-,107,  Ciencia e innovación tecnológica,120,14,-,106, inmobiliarias y de alquiler,584,263,65,1,1,-,-,-,255, inmobiliarias y de alquiler,568,253,65,5,5,-,-,-,245, inmobiliarias y de alquiler,543,257,64,7,7,-,-,-,215, inmobiliarias y de alquiler,535,249,64,7,7,-,-,-,215,, inmobiliarias y de alquiler, 484,247,68, 7,7,-,-,-,162,,"Servicios empresariales, actividades ",,,,,,,,,,,"Servicios empresariales, actividades ",,,,,,,,,,,,"Servicios empresariales, actividades ",,,,,,,,,,,Cultura; deporte,42,34,8,2,-,-,-,-,-,338,,Otras actividades de servicios  comunales de asoc. y personales, 299,138,30,1,-,-,105,25,25,-,-,-
  Educación,364,2,-,362,  Educación,372,2,-,370,  Educación,384,1,-,383,  Educación,383,1,-,382,  Educación,372,-,-,372,  Educación,356,-,-,356,  Educación,331,1,-,330,"Administración pública, defensa;",,,,,,,,,,"Administración pública, defensa;",,,,,,,,,,"Administración pública, defensa;",,,,,,,,,,"Administración pública, defensa;",,,,,,,,,,,"Administración pública, defensa;",,,,,,,,,,, inmobiliarias y de alquiler, 483,246,69, 6,6,-,-,-,162,, inmobiliarias y de alquiler,474 ,241 ,68 ,6 ,6 ,-,-,-,159 ,,, inmobiliarias y de alquiler,476 ,241 ,72 ,6 ,6 ,-,-,-,"157,0 ",,Otras actividades de servicios  comunales de asoc. y personales,193,30,1,2,24,24,-,-,-,138,,,,,,,,,,,,,,
  Salud Pública y Asistencia Social,375,4,-,371,  Salud Pública y Asistencia Social,384,4,-,380,  Salud pública y asistencia social,394,4,-,390,  Salud pública y asistencia social,393,4,-,389,  Salud pública y asistencia social,394,4,-,390,  Salud pública y asistencia social,386,5,-,381,  Salud pública y asistencia social,512,5,-,507, seguridad social,597,6,3,-,-,-,-,-,588, seguridad social,582,6,2,-,-,-,-,-,574, seguridad social,702,9,2,-,-,-,-,-,691, seguridad social,703,9,2,-,-,-,-,-,692,, seguridad social, 691,7,2,-,-,-,-,-,682,,"Administración pública, defensa;",,,,,,,,,,,"Administración pública, defensa;",,,,,,,,,,,,"Administración pública, defensa;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Cultura, Deporte ",302,24,-,278,"  Cultura, Deporte ",323,24,-,299,  Cultura y deporte ,388,25,-,363,  Cultura y deporte ,390,24,-,366,  Cultura y deporte ,388,23,-,365,  Cultura y deporte ,387,32,-,355,  Cultura y deporte ,372,34,-,338,Ciencia e innovación tecnológica,117,22,-,-,-,-,-,-,95,Ciencia e innovación tecnológica,113,22,-,-,-,-,-,-,91,Ciencia e innovación tecnológica,115,24,-,-,-,-,-,-,91,Ciencia e innovación tecnológica,117,26,-,-,-,-,-,-,91,,Ciencia e innovación tecnológica, 120,28,1,-,-,-,-,-,91,, seguridad social, 693,5,3,-,-,-,-,-,685,, seguridad social,695 ,5 ,4 ,-,-,-,-,-,686 ,,, seguridad social,692 ,5 ,5 ,-,-,-,-,-,"682,0 ",,,,,,,,,,,,,,Fuente: Directorio de Unidades Institucionales y Establecimientos (DUINE),,,,,,,,,,,,
"  Otras actividades de Servicios Comunales, de ",,,,,"  Otras actividades de Servicios Comunales, de ",,,,,"  Otras actividades deservicios comunales, de ",,,,,"  Otras actividades deservicios comunales, de ",,,,,"  Otras actividades deservicios comunales, de ",,,,,"  Otras actividades deservicios comunales, de ",,,,,"  Otras actividades de servicios comunales, de ",,,,,Educación,328,1,-,-,-,-,-,-,327,Educación,308,2,-,-,-,-,-,-,306,Educación,296,2,-,-,-,-,-,-,294,Educación,283,2,-,-,-,-,-,-,281,,Educación, 275,2,-,-,-,-,-,-,273,,Ciencia e innovación tecnológica, 122,30,1, 1,1,-,-,-,90,,Ciencia e innovación tecnológica,122 ,33 ,1 ,1 ,1 ,-,-,-,87 ,,,Ciencia e innovación tecnológica,125 ,35 ,4 ,1 ,1 ,-,-,-,"85,0 ",,Fuente: Directorio de Unidades Institucionales y Establecimientos (DUINE),,,,,,,,,,,,,,,,,,,,,,,,
      Asociaciones y  Personales,188,12,-,176,      Asociaciones y  Personales,185,9,-,176,     asociaciones y personales,188,10,-,178,     asociaciones y personales,187,10,-,177,     asociaciones y personales,193,38,-,155,     asociaciones y personales,165,11,-,154,      asociaciones y personales,165,12,-,153,Salud pública y asistencia social,509,1,4,-,-,-,-,-,504,Salud pública y asistencia social,505,1,3,-,-,-,-,-,501,Salud pública y asistencia social,501,1,3,-,-,-,-,-,497,Salud pública y asistencia social,499,1,3,-,-,-,-,-,495,,Salud pública y asistencia social, 490,1,2,-,-,-,-,-,487,,Educación, 273,2,-,-,-,-,-,-,271,,Educación,271 ,2 ,-,0 ,-,-,-,-,269 ,,,Educación,271 ,2 ,-,-,-,-,-,-,"269,0 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cultura y deporte,377,31,8,-,-,-,-,-,338,Cultura y deporte,379,31,8,-,-,-,-,-,340,Cultura y deporte,379,33,8,-,-,-,-,-,338,Cultura y deporte,378,34,8,-,-,-,-,-,336,,Cultura y deporte, 376,34,8,-,-,-,-,-,334,,Salud pública y asistencia social, 493,1,3,-,-,-,-,-,489,,Salud pública y asistencia social,494 ,1 ,3 ,0 ,-,-,-,-,490 ,,,Salud pública y asistencia social,494 ,1 ,3 ,-,-,-,-,-,"490,0 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otras actividades de servicios comunales,,,,,,,,,,Otras actividades de servicios comunales,,,,,,,,,,Otras actividades de servicios comunales,,,,,,,,,,Otras actividades de servicios comunales,,,,,,,,,,,Otras actividades de servicios comunales,,,,,,,,,,,Cultura y deporte, 376,36,8,-,-,-,-,-,332,,Cultura y deporte,380 ,34 ,8 ,0 ,-,-,-,-,338 ,,,Cultura y deporte,380 ,35 ,8 ,-,-,-,-,-,"337,0 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, de asociaciones y personales,168,13,-,3,3,-,-,-,152, de asociaciones y personales,170,12,-,7,7,-,-,-,151, de asociaciones y personales,180,11,-,18,18,-,-,-,151, de asociaciones y personales,186,11,-,24,24,-,-,-,151,, de asociaciones y personales, 187,12,-, 24,24,-,-,-,151,,Otras actividades de servicios ,,,,,,,,,,,Otras actividades de servicios ,,,,,,,,,,,,Otras actividades de servicios ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,0 ",,,,,,,, comunales de asociaciones y personales, 188,13,-, 24,24,-,-,-,151,, comunales de asociaciones y personales,189 ,14 ,-,24 ,24 ,-,-,-,151 ,,, comunales de asociaciones y personales,191 ,16 ,-,24 ,24 ,-,-,-,"151,0 ",,,,,,,,,,,,,,,,,,,,,,,,,,
