8.6- Importaciones según país de origen de las mercancías  por  países seleccionados y áreas geográficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,                                         ,,,,,,,,,,,,,,,,,,                Miles de pesos,                Miles de pesos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,8.034.976,7.596.136,7.583.678,7.602.894,8.139.811,7.416.525,4.233.752,2.314.916,2.008.215,2.016.821,2.882.530,3.568.997,3.987.256,4.181.192,4.349.090,4.795.613,4.793.235,4.188.148,4.672.763,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.982,11.483.653,9.901.427,7.230.347,8.431.207,9.833.119
  Estados Unidos de América,-,-,-,-,-,-,-,                 -,-,-,-,-,-,-,-,-,4.414,173.615,327.252,443.900,476.311,483.591,581.657,962.767,597.938,406.118,433.795,508.656,401.810,314.225,180.495,261.798,306.602,271.281,308.310,196.150,370.986,391.296
  El Salvador,-,-,-,-,-,325,-,4,-,1,-,53,608,433,525,1.082,895,1.785,1.524,4.250,4.852,7.698,9.242,13.591,8.217,5.719,10.791,7.335,12.096,12.465,12.895,12.183,16.184,21.201,10.817,7.018,4.768,7.866
  Guadalupe,-,-,-,-,-,-,-,-,-,-,850,6.763,677,202,21,9,-,10,25,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Guatemala,-,-,-,-,-,-,,,-,190,548,1.870,6.521,6.409,6.835,8.878,13.451,10.711,12.483,21.800,12.200,16.706,17.358,30.911,11.962,13.403,17.883,15.321,16.444,21.991,22.321,21.911,51.739,39.320,26.671,10.123,12.505,13.815
  Guyana,1.318,1.867,4.728,1.496,3.165,100,650,388,-,-,-,76,1.711,2.681,1.036,1.337,1.241,960,716,175,833,464,304,1.281,298,492,390, -,35,347,67, -,8.449,23.694,11.959,2,278,404
  Haití,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,22,7,350,43,336,390,1,80,443, -,3,773,0,4, -,1,7,6,7,3,9,17
  Honduras,-,-,-,-,-,1.625,950,71,722,138,42,295,2.810,2.926,3.443,2.157,1.523,1.034,1.845,1.208,1.741,2.185,4.934,953,1.182,369,1.199,567,562,1.291,9.831,8.662,21.674,7.595,3.160,214,42,484
  Islas Caimán,-,-,-,-,3.214,-,-,-,-,5.998,204,136,3,134,58,68,9,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Islas Vírgenes (RU),-,-,-,-,-,-,-,-,5,391,1.232,1.131,254,339,542,377,308,202,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Jamaica,-,-,-,-,-,-,-,-,4.893,248,231,1.617,1.411,2.146,8.797,2.024,2.577,3.577,6.391,2.877,2.279,6.155,7.866,9.620,4.299,4.520,9.873,4.336,3.603,4.166,965,186,930,8.814,2.622,1.169,1.184,3.105
  Martinica,-,-,-,-,-,-,-,-,-,-,5,138,135,1,83,59,105,112,107,2.192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  México,77.125,29.708,72.064,108.022,81.349,81.590,61.016,87.385,306.611,250.219,396.510,342.223,366.285,342.796,321.772,298.527,289.543,204.122,215.949,243.758,269.502,235.046,204.703,369.144,322.831,359.970,449.711,486.694,507.652,442.812,459.722,422.389,446.033,513.265,450.837,323.803,361.362,347.801
  Nicaragua,8.572,11.357,11.328,10.757,12.624,8.183,2.694,3.571,437,2.231,4.756,2.568,2.002,4.687,4.335,4.001,3.218,2.479,931,673,941,1.067,945,7.420,2.384,1.290,2.968,1.217,2.636,2.084,4.955,950,1.354,1.303,5.393,7.279,3.913,8.677
  Panamá,28.995,21.384,17.921,14.870,11.509,5.925,4.450,8.201,19.926,37.294,108.454,169.251,42.637,29.276,19.727,18.267,21.646,17.582,18.695,22.545,19.597,28.856,51.862,94.758,63.950,60.388,87.254,75.206,100.583,56.730,62.111,61.320,65.113,63.802,47.150,27.641,34.746,51.370
  Perú,2.968,3.708,3.602,8.381,18.976,6.877,1.530,894,340,755,4.875,353,16.789,2.555,2.589,3.101,3.960,1.237,3.209,3.171,4.041,4.046,3.503,7.241,11.756,8.206,14.677,12.644,14.398,8.300,7.885,4.861,7.729,14.111,14.172,9.967,7.462,7.828
  Puerto Rico,-,-,-,-,-,-,-,-,-,-,-,2,63,73,12,68,414,836,935,1.230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  República Bolivariana de Venezuela,5.790,10.152,19.134,28.943,56.388,34.341,38.043,70.062,146.240,198.528,236.654,333.471,432.660,385.570,451.451,898.393,951.522,725.379,684.106,1.142.740,1.863.651,2.232.423,2.243.242,4.473.223,2.607.641,4.301.862,5.902.075,6.078.898,4.801.749,5.188.779,2.794.300,1.582.601,1.838.583,2.641.778,1.770.608,1.062.114,1.245.860,2.013.489
  República Dominicana,-,-,-,-,-,-,125,4.403,5.147,3.741,6.507,18.169,18.123,19.310,24.309,20.903,16.427,15.701,16.658,29.314,24.067,34.219,50.840,83.006,34.311,45.059,53.711,47.074,54.935,42.407,54.755,68.897,43.850,46.919,43.024,23.073,18.635,21.416
  Surinam,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,94,1.224,1.153,1.426,1.285,884,304,526,547,550,2.295,1.389,796,617,840,3.425,112,84
  Trinidad y Tobago,-,-,-,-,-,-,-,635,7.200,12.496,39.225,39.134,20.561,25.031,57.497,36.392,23.729,40.383,34.898,26.338,24.730,25.878,19.463,49.721,31.624,31.223,45.030,42.852,34.703,51.298,43.161,103.133,94.812,47.288,45.044,19.606,45.059,57.896
  Turcas y Caicos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Uruguay,-,1.236,4.582,9.301,15.487,19.600,12.100,2.072,9.517,9.820,1.490,280,1.623,6.171,5.331,6.001,1.848,403,1.593,8.306,31.892,35.982,53.659,67.622,49.279,54.917,65.680,50.112,19.344,25.633,28.472,36.050,57.570,65.433,71.863,84.164,27.894,74.713
  Otros,122,13,-,5,1.085,322,1.303,15,13,990,9.921,14.751,190.046,126.942,117.120,127.036,99.445,71.327,72.505,84.418,128.384,111.990,134.672,34.952,11.718,19.536,13.106,6.814,9.179,80.788,104.101,112.512,109.408,81.181,60.589,42.796,60.726,113.720
 Oceanía,8.458,7.591,562,671,687,22.810,45.647,36.124,5.916,15.186,9.628,32.842,36.128,29.943,12.977,4.497,61.156,58.756,49.660,54.533,69.726,63.823,86.207,128.146,12.570,47.948,74.267,41.616,43.959,74.935,71.844,34.615,38.222,24.762,38.506,69.731,20.166,59.037
  Australia,8.458,2.960,562,671,687,556,-,92,427,6,4,10.631,1.779,986,1.344,2.021,4.892,19.292,8.920,2.439,8.561,7.580,11.793,8.852,4.700,7.707,8.109,11.800,4.782,5.595,4.809,5.884,1.695,1.591,957,3.202,1.056,2.213
  Nueva Zelandia,-,4.631,-,-,-,22.254,45.647,36.032,5.489,15.180,9.624,22.168,33.554,28.900,11.622,2.430,55.450,39.440,40.710,52.070,53.725,55.967,74.104,105.003,7.870,28.750,65.918,29.801,39.003,69.330,66.799,28.730,36.219,22.855,37.109,66.470,18.744,56.762
  Vanuatú,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.436,-,-,14.101,-,11.395,-,-,-,-,-,-,-,-,-,-,-,-
  Otros,-,-,-,-,-,-,-,-,-,-,-,43,795,57,11,46,814,24,30,24,4,276,310,14.291, -,11.491,240,15,174,10,237,1,308,315,440,59,366,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A partir del año 2002 incluye donaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
