8.6- Importaciones según país de origen de las mercancías  por  países seleccionados y áreas geográficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,                                         ,,,,,,,,,,,,,,,,,,                Miles de pesos,                Miles de pesos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,8.034.976,7.596.136,7.583.678,7.602.894,8.139.811,7.416.525,4.233.752,2.314.916,2.008.215,2.016.821,2.882.530,3.568.997,3.987.256,4.181.192,4.349.090,4.795.613,4.793.235,4.188.148,4.672.763,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.982,11.483.653,9.901.427,7.230.347,8.431.207,9.833.119
    Italia,43.169,54.892,45.825,75.850,63.612,92.570,103.857,59.105,112.123,110.969,103.604,139.751,231.915,253.203,264.063,296.602,298.007,283.939,334.878,272.524,293.302,417.093,391.063,488.408,324.479,292.133,387.799,380.512,460.304,391.624,428.585,413.820,388.304,395.454,390.122,285.925,446.081,296.922
    Letonia,-,-,-,-,-,-,-,2.458,72,12,-,6.487,3,23,-,-,31,32,898,41,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Liechtenstein,37,17,42,25,49,129,-,1,2,8,28,21,11,10,19,23,61,66,57,29,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Luxemburgo,234,255,-,-,-,-,-,296,-,-,-,134,1,21,7,79,118,1.478,1.271,8,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Noruega,426,328,219,337,472,526,146,4.892,5,4.454,21.087,434,421,1.336,863,1.179,1.185,1.669,1.105,1.164,1.355,3.487,1.044,1.006, ,6.841,7.889,4.747,4.025,5.521,7.315,1.377,3.007,14.290,5.245,5.149,14.747,3.140
    Polonia,75.802,60.230,81.481,65.954,57.880,44.632,4.278,4.494,3.909,983,540,13.054,16.431,9.919,6.941,2.499,4.501,10.240,23.729,9.466,18.168,14.674,15.461,15.371,17.571,15.872,18.814,25.855,18.695,45.230,56.957,80.213,59.070,33.214,105.549,103.783,23.992,25.661
    Portugal ,2.184,5.677,902,600,923,812,4.203,3.264,831,1.736,12.840,3.143,7.067,6.800,8.365,10.052,9.291,5.564,4.346,5.836,10.101,10.917,12.402,22.966,13.973,13.893,29.653,57.447,41.329,38.599,52.360,65.017,63.091,63.424,59.842,46.291,40.407,51.943
    Reino Unido ,105.078,78.888,70.195,59.746,82.085,73.852,63.775,132.355,69.992,93.840,59.323,42.148,30.802,54.022,41.193,56.864,24.739,31.279,22.158,27.122,29.110,45.026,56.324,49.293,32.313,49.676,79.892,61.450,66.914,65.011,56.300,52.395,50.884,40.839,42.213,36.134,24.625,116.805
    República Checa,197.194,177.997,200.134,215.289,216.132,198.235,83.133,5.276,3.571,5.425,5.853,17.767,13.251,29.696,25.128,10.691,9.898,14.841,14.238,22.482,26.572,41.686,34.557,64.340,17.569,21.945,59.720,51.049,36.498,35.039,50.910,41.509,62.543,51.558,66.943,16.401,17.844,14.867
    República Eslovaca,-,-,-,-,-,-,-,-,4.006,1.777,1.590,9.538,4.982,9.009,8.799,6.108,3.238,2.229,8.081,26.647,26.834,11.504,35.191,10.402,11.095,19.365,20.780,11.544,10.557,14.688,14.834,12.312,25.790,51.002,25.310,6.921,10.840,8.899
