CONCEPTO(UM),1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pienso para animales (excepto cereales sin moler) Valor (MP),63.511,63.724,46.093,34.684,15.323,9.606,21.394,54.442,42.399,50.668,,55.456,158.933,198.502,158.818,207.858,220.466,244.903,277.242,206.115,236.872,215.543,172.188,177.882,102.776
Tortas de soja Cantidad (t),201.276,181.149,169.785,116.250,23.025,-,23.370,89.995,-,10 ,-,-,235.598,263.324,195.365,212.725,273.677,356.675,380.666,303.094,329.529,362.200,341.100,280.200,140.113
Tortas de soja Valor (MP),55.061,31.308,34.959,26.733,4.767,-,6.770,27.790,-,5 ,-,-,89.354,129.811,85.033,129.126,162.496,170.361,178.838,126.362,152.385,146.642,135.907,154.582,83.572
Tortas de semillas de girasol Cantidad (t),30.960,41.454,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tortas de semillas de girasol Valor (MP),4.052,15.920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harina animal para pienso Cantidad (t),128,6.494,3.719,3.071,523,559,446,612,318,520,571,217,365,516,537,1.361,841,1.304,1.342,1.187,997,1.290,1.018,1.406,300
Harina animal para pienso Valor (MP),84,4.587,3.077,3.033,330,431,346,493,380,684,681,234,630,896,869,2.573,1.466,2.576,2.418,1.978,1.588,1.995,1.515,2.355,536
Preparados del tipo utilizado para la alimentacion de animales Cantidad (t),2.514,25.026,17.008,5.012,12.329,13.507,8.464,34.966,67.030,57.458,70.244,37.250,72.570,47.857,48.153,70.922,70.361,113.176,176.528,117.943,128.261,86.472,31.332,17.315,14.075
Preparados del tipo utilizado para la alimentacion de animales Valor (MP),974,8.292,5.999,2.605,5.471,6.560,3.887,14.441,29.243,29.350,41.968,24.330,40.410,35.792,39.747,56.742,54.944,70.733,94.840,75.241,82.123,65.946,34.147,20.660,18.002
Productos y preparados comestibles diversos Valor (MP),20.128,25.674,25.379,26.384,25.242,28.400,33.840,30.575,30.897,37.981,40.429,37.510,32.097,42.847,35.567,50.793,55.749,63.534,41.593,60.255,66.561,65.234,42.896,65.109,61.294
