8.11 -  Exportaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección,Capítulo,CONCEPTO,   UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las exportaciones (a),   MP,1.512.197,1.495.783,1.675.259,1.621.891,1.421.658,1.671.631,2.332.118,2.159.453,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
,71,     Maquinaria y equipo generadores de fuerza,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,662,190,987,432,1.063,3.058,4.884,6.194,15.860,30.192,27.722,26.070,25.743,30.239,20.398,21.054,25.320,17.210,24.706,14.629,15.094,14.131,4.000,6.346,14.021
,72 ,     Maquinarias especiales para determinadas ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,      industrias,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,2.044,1.682,3.065,3.480,4.018,2.746,6.193,10.692,31.042,31.044,21.639,34.914,28.151,51.269,42.730,36.789,14.758,2.705,5.059,5.384,2.773,4.398,3.398,6.013,4.194
,73 ,     Máquinas para trabajar metales,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,312,400,1.552,1.691,1.398,1.044,996,1.050,254,274,983,661,1.471,763,685,297,292,235,598,81,172,357,123,298,111
,74 ,     Maquinarias y equipo industrial en general,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,1.652,1.102,1.180,1.724,686,1.944,4.642,7.583,9.822,16.255,24.125,9.738,6.840,7.033,12.128,9.879,10.104,4.924,9.266,4.387,2.439,2.955,3.392,3.192,2.052
,75 ,     Máquinas de oficina y procesamiento automático,,,,,,,,,,,,,,,,,,,,,,,,,,
,,      de datos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,639,1.344,379,1.082,1.588,3.467,4.852,5.001,6.129,10.106,994,775,275,698,987,319,535,426,357,388,369,283,86,340,238
,76 ,     Aparatos y equipos para telecomunicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,
,,      y grabación y reproducción de sonido,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,344,655,799,1.717,1.611,28.693,11.101,8.084,12.658,2.220,2.338,2.054,4.312,1.485,2.146,1.973,2.179,1.893,850,1.026,740,436,518,2.006,1.104
,77 ,"     Maquinaria, aparatos y artefactos eléctricos,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,      n.e.p. y sus partes y piezas eléctricas ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"      (incluso las contrapartes no eléctricas,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"      n.e.p., del equipo eléctrico de uso doméstico)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,4.074,2.921,2.038,7.143,6.579,3.661,15.484,45.390,48.643,72.408,58.651,56.091,30.035,28.723,13.876,9.465,9.693,14.283,7.839,9.132,6.159,12.490,7.976,3.384,3.582
,78,     Equipo de carretera (incluso aerodeslizadores),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,233,991,865,918,1.756,3.258,2.817,3.332,6.696,1.987,3.634,4.449,3.651,4.219,913,342,1.091,2.879,3.418,12.793,523,339,328,6.264,1.220
,79,       Otro equipo de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,265,748,660,2.428,10.623,1.629,1.514,7.359,98.184,7.228,24.368,36.873,10.902,11.681,10.837,20.926,19.877,1.765,20.090,17.278,1.623,14.461,142,424,1.368
8 ,,   Artículos manufacturados diversos ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,13.125,13.433,10.265,8.662,10.652,32.836,163.120,112.595,136.528,139.433,58.417,60.462,44.301,46.131,40.131,32.511,16.719,19.896,11.929,14.842,9.951,7.541,3.901,5.821,2.919
,81 ,     Edificios prefabricados; artefactos y ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,      accesorios sanitarios y para sistemas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"      conducción de aguas, calefacción y ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"      alumbrado, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,701,4.890,2.178,814,784,1.213,1.217,2.420,4.095,3.279,1.658,1.006,10.113,8.649,8.643,3.912,742,377,264,81,4,83,111,3,14
,82 ,"     Muebles y sus partes; camas, colchones",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"      somieres, cojines y artículos rellenos similares",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,535,361,610,1.061,487,750,607,711,2.125,3.521,2.794,705,758,2.205,268,311,28,432,369,34,1,8,28,16,12
,83,"     Artículos de viaje, bolsos de mano y ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,      otros artículos análogos para contener ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,86,60,89,18,48,41,24,11,17,47,44 ,39 ,"18,9 ",104,15,48,192,576,505,13,27,3,1,32,-
,84 ,      Prendas y accesorios de vestir,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,5.130,3.106,2.119,1.901,2.678,910,1.442,2.347,516,1.787,798 ,784 ,1.035,438,191,1.043,226,162,263,34,13,8,155,439,8
,85 ,     Calzado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,410,186,141,244,177,58,512,314,217,1,67 ,-,3,8,-,1,9,0,1,0,0,2,13,-,-
,87,"     Instrumentos y aparatos profesionales,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       científicos y de control, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,1.200,1.018,871,764,2.847,6.935,20.657,42.144,95.418,90.189,33.719,40.735,20.645,22.203,17.257,11.311,11.215,8.873,6.704,9.712,6.600,3.904,2.670,1.788,2.330
,88 ,       Aparatos y equipo y materiales fotográficos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       y artículos de óptica, n.e.p, relojes",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,132,392,329,135,160,549,22.758,11.335,4.644,7.529,2.981,1.612,967,94,168,67,42,31,2,608,383,345,33,57,27
,89 ,"     Artículos manufacturados diversos, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,4.931,3.420,3.928,3.725,3.471,22.380,115.903,53.313,29.496,33.080,16.356,15.581,10.761,12.429,13.589,15.818,4.265,9.445,3.821,4.361,2.924,3.189,891,3.487,530
9 ,,   Mercaderías y operaciones no clasificadas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,     en otros rubro de la CUCI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,8.018,4.172,381,227,224,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) A partir del año 2002 se incluye donaciones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) A partir del año 1998 se expresa en toneladas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
