8.11 -  Exportaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección,Capítulo,CONCEPTO,   UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las exportaciones (a),   MP,1.512.197,1.495.783,1.675.259,1.621.891,1.421.658,1.671.631,2.332.118,2.159.453,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
,,       Melaza de caña,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,115.438,131.336,161.321,32.215,111.586,40.002,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,         Valor,   MP,5.538,4.296,4.873,1.775,6.533,2.008,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,       Caramelos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,31,61,56,31,16,28,83,15,30,45,-,-,15,0,-,-,-,-,-,-,-,-,-,-,-
,,         Valor,   MP,28,51,45,28,24,24,72,-,26,39,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-
,,       Miel natural,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,4.499,5.151,5.697,6.022,4.767,6.208,5.863,3.126,4.716,4.504,5.430,3.745,3.272,5.147,5.079,5.524,7.228,6.305,7.171,6.779,6.075,6.935,7.354,8.653,2.130
,,         Valor,   MP,6.231,8.079,5.831,5.750,6.025,13.180,12.813,4.456,6.455,7.045,10.356,9.409,8.560,15.427,14.861,16.833,23.383,20.204,16.898,18.010,16.237,14.189,15.657,21.694,408
,07,"     Café, té, cacao, especias y sus preparados",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,31.378,15.651,19.449,11.102,10.264,8.628,6.827,5.786,4.202,5.591,3.309,3.418,4.111,5.475,8.256,10.490,7.614,8.412,8.033,6.021,7.248,6.068,9.233,10.231,6.621
,,"       Manteca, grasa o aceite de cacao",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,306,252,252,281,414,216 ,288,225,269,288,249,90 ,162 ,90,273,293,336,255,353,136,60,140,131,95,22
,,         Valor,   MP,1.078,699,558,485,827,588,1.200,774,877,1.098,1.147,440 ,"550,8 ",338,729,1.112,1.687,1.252,1.894,618,318,632,588,293,70
,08,     Pienso para animales (excepto cereales sin moler),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,            -,                 -,                 -,28,10,                 -,440,-,49,115,116,95,40,87,18,0,16,-,-,-,-,-,2,-,-
,09,     Productos y preparados comestibles diversos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,1,39,5,129,156,115,217,747,305,278,512,209,89,145,73,768,783,2.316,1.614,2.051,1.597,799,238,1.142,1.876
1,,   Bebidas y tabaco,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,202.562,218.471,179.719,232.023,162.373,238.231,243.597,250.381,272.234,288.671,318.000,281.785,284.724,315.703,316.992,398.524,321.861,285.851,340.039,391.327,396.916,437.133,327.241,306.068,494.647
,11,     Bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,10.653,13.209,13.408,15.146,18.101,22.879,26.769,25.115,26.295,52.561,83.531,69.547,82.654,92.716,92.611,153.840,95.219,75.219,110.308,150.334,136.603,170.486,93.415,102.088,264.682
,,       Bebidas alcohólicas (excluye vinos),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,   hl,76.451,103.312,116.893,117.458,156.591,220.668,313.430,187.469,193.025,268.495,249.859,241.829,297.889,315.717,327.440,453.987,318.437,277.068,444.014,664.703,397.642,528.991,30.743,34.405,75.512
,,         Valor,   MP,10.280,13.031,13.286,15.084,18.014,22.787,26.608,24.996,26.241,50.981,83.422,69.542,82.642,92.593,92.381,153.668,95.170,75.183,110.158,150.313,136.569,170.477,93.415,102.047,264.641
,12,      Tabaco y sus productos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,191.909,205.262,166.311,216.877,144.272,215.352,216.828,225.266,245.939,236.110,234.469,212.238,202.070,222.987,224.381,244.684,226.642,210.632,229.731,240.993,260.314,266.647,233.825,203.980,229.965
,,        Tabaco en rama,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,7.790,7.702,6.919,9.338,10.356,10.064,5.669,5.704,2.770,3.322,2.308,2.751,1.488,1.263,1.073,1.601,1.104,417,1.098,1.086,1.019,1.154,831,1.245,1.339
,,         Valor,   MP,25.785,27.048,19.945,21.967,21.165,18.206,10.564,10.743,6.084,6.828,5.432,7.599,5.408,4.430,5.012,8.109,6.277,3.249,6.973,7.146,6.208,6.270,6.099,10.728,10.806
,,        Tabaco torcido (b),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,   MU,113.614,110.232,139.718,95.689,133.234,153.888,179.455,235.181,220.007,214.480,1.131,958,918,986,1.051,1.096,1.030,961,1.039,1.001,1.210,1.631,1.034,814,820
,,         Valor,   MP,162.750,173.477,140.346,192.602,122.616,195.980,202.440,209.535,236.788,226.084,225.417,201.747,193.331,215.377,217.917,232.359,217.464,203.437,219.105,230.145,250.146,258.677,226.689,193.161,218.694
,,        Cigarrillos ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,  MMU,218,927,2.494,263,101,167,454,569,458,454,418,379,397,305,145,333,316,494,486,484,521,214,95,5.784,32
,,         Valor,   MP,2.788,4.427,5.987,2.308,482,1.087,3.810,4.961,3.060,3.191,3.618,2.891,3.330,3.179,1.452,4.216,2.888,3.947,3.652,3.702,3.959,1.700,1.038,91,464
2,,"   Materiales crudos no comestibles,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,     excepto los combustibles,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,358.781,436.808,623.089,485.416,463.237,655.450,1.110.096,1.038.646,1.408.901,2.143.823,1.483.700,877.182,1.206.917,1.479.788,1.082.279,795.655,827.653,596.245,531.496,684.843,812.026,686.150,676.204,853.053,1.030.673
,21,"      Cueros, pieles y pieles finas, sin curtir",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,109,163,170,127,44,127 ,137,377,994,858 ,337 ,187 ,624,804,689,509,480,264,452,1.090,925,297,77,121,441
,22,      Semillas y frutos oleaginosos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,            -,18,3,58,28,47,16,-,8,4 ,4 ,-,-,-,-,12,-,-,-,-,-,-,-,-,-
,24,      Corcho y madera,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,53,                 -,170,48,86,250,259,557,1.386,1.537,2.184,5.162,6.284,11.945,19.587,25.846,29.994,36.329,34.371,32.892,34.475,39.936,29.807,31.985,31.591
,25,       Pasta y desperdicios de papel,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,            -,14,151,                 -,134,83,5,19,-,-,-,8,5,12,69,84,29,24,56,52,76,28,18,31,-
,26,       Fibras textiles (excepto las mechas y otras ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        formas de lana peinada) y sus desperdicios,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        (no manufacturadas en hilados, hijos o tejidos)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,            -,                 -,                 -,                 -,3,34,                 -,15,605,47 ,-,16 ,1,-,-,13,0,1,0,12,5,-,-,-,-
,27,      Abonos en bruto excepto los del cap. 56 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       y minerales en bruto (excepto carbón, ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,       petróleo y piedras preciosas),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,2.493,1.564,1.936,1.655,1.206,1.263,844,572,700,343 ,379 ,322 ,431,535,629,655,830,459,151,108,200,229,162,169,570
,,        Mármol en bloques  (b),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,   m3,8.725,2.815,4.593,4.143,2.420,2.062,1.147,852,1.858,1.053,523 ,396 ,564,203,976,474,376,20,70,0,0,-,-,-,-
,,         Valor,   MP,2.007,809,995,871,470,271,174,115,244,126,75,78,182,49,156,104,108,12,10,0,0,-,-,-,-
,28,      Menas y desechos de metales,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,351.926,430.393,617.787,480.762,458.984,650.835,1.106.384,1.035.214,1.403.644,2.140.044,1.479.917,870525 ,1.198.538,1.465.513,1.060.178,767.885,795.261,558.576,496.039,649.747,775.869,645.358,645.803,820.611,997.816
,,       Sinter de Ni+Co (Contenido metálico),,,,,,,,,,,,,,,,,,,,,,,,,,
,,       Cantidad ,tc,-,-,-,-,-,-,35.872,34.435,…,…,27.271,"28790,2 ",25.790,27.280,23.894,15.372,11.699,13.400,13.068,13.753,13.124,12.747,12.936,11.802,…
,,        Valor,MP,-,-,-,-,-,-,491.831,480.481,…,…,606.116,367.623,491.856,600.054,405.513,217.854,188.915,147.814,116.692,131.789,163.483,152.776,144.775,177.219,…
,,       Oxido de Ni+Co (Contenido metálico)+polvo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       Cantidad,tc,-,-,-,-,-,-,3.649,4.225,…,…,1.501,1.538,1.383,1.690,1.975,1.322,1.436,1.318,2.006,1.808,1.519,1.791,1.988,2.003,…
,,       Valor,MP,-,-,-,-,-,-,60.733,67.307,…,…,30.850,19.021,26.336,35.712,32.340,18.529,23.073,13.257,18.105,17.226,18.515,18.405,20.203,11.258,…
,,       Sulfuro de Ni+Co (contenido metálico),,,,,,,,,,,,,,,,,,,,,,,,,,
,,       Cantidad,tc,-,-,-,-,-,-,37.921,36.928,…,…,…,…,41.208,44.476,42.399,39.202,39.111,38.091,36.552,37.061,37.375,42.132,42.194,39.588,…
,,        Valor,MP,-,-,-,-,-,-,509.688,442.569,…,…,…,…,632.264,778.870,569.290,457.392,518.556,350.385,323.481,437.943,550.936,429.363,450.413,599.241,…
,29 ,"      Productos animales y vegetales en bruto, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,4.200,4.656,2.872,2.766,2.752,2811 ,2.459,1.892,1.564,990,879,962 ,1.034,979,1.126,652,1.058,593,428,943,476,302,338,137,255
,,        Esponjas naturales,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,27,38,45,32,45,46,38,28,36,29,24 ,32 ,25,26,22,16,27,25,24,21,19,9,9,5,10
,,         Valor,   MP,1.375,1.489,655,542,731,781,643,435,693,563,460,573,405,525,397,256,458,391,362,287,185,97,143,86,180
3 ,,"   Combustibles y lubricantes, minerales",,,,,,,,,,,,,,,,,,,,,,,,,,
,,     y productos conexos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,445,18.934,52.388,24.739,5.711,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
4 ,,"   Aceites, grasas y ceras de origen animal y vegetal",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,11,10,732,237,216,1.807,313,1.332,1.052,848,642,14,106,353,729,188,55,2,557,362,29,52,73,29,0
,42 ,"      Aceites y grasas fijos de origen vegetal,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        en bruto, refinados o fraccionados",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,1,10,3,-,1,1.588,1,6,-,-,-,-,-,-,-,-,-,1,0,0,0,-,32,29,-
,43 ,"      Aceites y grasas de origen animal o vegetal,",,,,,,,,,,,,,,,,,,,,,,,,,,
,,        elaborados; ceras de origen animal y vegetal;,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        mezclas o preparados no comestibles de,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        grasas o aceites de origen animal o vegetal, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,10,            -,729,237,215,219,312,1.326,1.052,848,642,14,106,353,729,188,55,1,557,362,29,52,42,-,-
5 ,,"   Productos químicos y productos conexos, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,45.566,39.662,41.227,56.168,65.033,60814 ,177.871,258.762,328.098,332.286,347.929,554.140,538.407,582.706,620.141,680.960,678.679,678.533,493.859,385.915,458.018,267.636,146.057,271.463,131.153
,51,      Productos químicos orgánicos ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,1.363,172,3.165,8.362,7.589,5.053,4.108,3.790,7.188,15.398,13.959,13.623,11.287,14.829,21.785,32.431,28.617,18.862,12.825,9.896,3.970,4.070,4.893,458,87
,52 ,      Productos químicos inorgánicos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,32,67,29,120,208,312,446,500,441,629,613,342,325,1.340,382,522,621,863,1.044,2.358,888,772,234,434,605
,53 ,"      Materias tintóreas, curtientes y colorantes",,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,35,37,133,78,56,7,19,57,17,43,96,49,188,42,-,70,28,23,159,0,62,3,33,-,29
,54 ,      Productos medicinales y farmacéuticos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,39.075,31.720,33.386,42.638,51.332,47.792,165.143,240.119,306.143,288.505,296.404,506.357,489.574,523.281,553.676,600.711,592.317,…,442.021,323.924,410.421,267.636,…,…,…
,,        Productos medicinales y farmacéuticos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         excepto los medicamentos (incluso ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         los medicamentos veterinarios),,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Valor,   MP,35.208,26.327,25.951,34.414,43.937,33.643,26.018,39.085,69.963,90.179,69.098,124.455,118.211,158.850,254.623,266.223,279.302,112.289,151.660,88.240,24.242,13.662,6.917,211.246,101.174
,55 ,      Aceites esenciales y resinoides y productos,,,,,,,,,,, ,,,,,,,,,,,,,,,
,,       de perfumería; preparados de tocador y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        para pulir y limpiar,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,315,5.139,2.193,2.321,2.802,2.057,2.625,3.796,2.040,2.797,1.232,887,1.109,2.161,1.148,938,1.559,1.600,1.268,1.999,1.780,244,2.091,136,114
,56 ,      Abonos (excepto abonos en bruto especificados,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       en el cap. 27),,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,3,37,290,10,54,1754 ,1.259,2.928,556,773,2.637,2.224,2.024,3.457,2.765,2.302,2.980,3.601,150,155,0,-,-,4,-
,57,     Plásticos en formas primarias ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,70,45,254,359,219,259,185,73,102,207,59,4,45,484,228,877,559,82,72,60,82,74,26,4,24
